"owner","player","pos","team","espn_points","cbs_points"
"Hartman","Le'Veon Bell","RB","PIT",211.7,212.2
"Thieneman","Adrian Peterson","RB","MIN",222.8,214
"Shokunbi","Eddie Lacy","RB","GB",233.6,245.4
"Ready","Jamaal Charles","RB","KC",219.8,243.3
"Matovina","Marshawn Lynch","RB","SEA",209.1,263.4
"Skrzyskewski","Antonio Brown","WR","PIT",209.4,212.9
"Olson","C.J. Anderson","RB","DEN",225.1,233.8
"Matovina","Matt Forte","RB","CHI",202.3,233.3
"Harrington","DeMarco Murray","RB","PHI",204.3,206.1
"Regan","Demaryius Thomas","WR","DEN",196.2,211.9
"Ready","LeSean McCoy","RB","BUF",206.3,175
"Matovina","Rob Gronkowski","TE","NE",162.7,182.2
"McShane","Dez Bryant","WR","DAL",194.7,208.5
"Skrzyskewski","Jeremy Hill","RB","CIN",203.4,198.2
"Harrington","Odell Beckham","WR","NYG",191.5,207.6
"Higdon","Julio Jones","WR","ATL",187.7,188.2
"Hartman","Calvin Johnson","WR","DET",188.2,183.2
"Ready","A.J. Green","WR","CIN",182.5,169.3
"McShane","Randall Cobb","WR","GB",178.6,186.3
"Kane","Aaron Rodgers","QB","GB",317.7,308.56
"Olson","Alshon Jeffery","WR","CHI",173.3,159
"Harrington","T.Y. Hilton","WR","IND",168.5,161
"Regan","Mike Evans","WR","TB",160.9,174
"Thieneman","Mark Ingram","RB","NO",180.5,167.4
"Thieneman","Andrew Luck","QB","IND",324.6,332.84
"Higdon","Emmanuel Sanders","WR","DEN",155,174.1
"Ready","DeAndre Hopkins","WR","HOU",139.4,134.1
"Shokunbi","Alfred Morris","RB","WSH",169.7,143.5
"Regan","Lamar Miller","RB","MIA",193.1,180.2
"Matovina","Brandin Cooks","WR","NO",159.4,148
"Olson","Jordan Matthews","WR","PHI",147,144.5
"Hartman","Jimmy Graham","TE","SEA",130.6,139.9
"McShane","Carlos Hyde","RB","SF",187.2,142.5
"Kane","Justin Forsett","RB","BAL",183.1,188.5
"Hartman","Keenan Allen","WR","SD",139.9,126.6
"Skrzyskewski","Russell Wilson","QB","SEA",300.8,313.34
"Skrzyskewski","Melvin Gordon","RB","SD",164.2,182.1
"Hartman","Peyton Manning","QB","DEN",298.4,302.01
"Higdon","Jonathan Stewart","RB","CAR",171.5,141.6
"Kane","Julian Edelman","WR","NE",148,157.2
"Matovina","Vincent Jackson","WR","TB",130.2,130.3
"Regan","Frank Gore","RB","IND",176.7,138.1
"Kane","Drew Brees","QB","NO",302.3,294.62
"McShane","Tom Brady","QB","NE",296.7,277.32
"Shokunbi","DeSean Jackson","WR","WSH",142.4,116.9
"Olson","Todd Gurley","RB","STL",130,112.1
"McShane","Joique Bell","RB","DET",150.4,160.5
"Higdon","Amari Cooper","WR","OAK",133.2,121
"Olson","Latavius Murray","RB","OAK",166.1,184.8
"Ready","Golden Tate","WR","DET",138.1,142.4
"Skrzyskewski","Andre Ellington","RB","ARI",145.7,148
"Kane","Joseph Randle","RB","DAL",116,101.2
"Shokunbi","T.J. Yeldon","RB","JAC",154,153.5
"Olson","Arian Foster","RB","HOU",190.2,164.3
"Higdon","Chris Ivory","RB","NYJ",149.8,136.4
"Skrzyskewski","Giovani Bernard","RB","CIN",142.7,132
"Thieneman","Davante Adams","WR","GB",122.4,101
"Matovina","Andre Johnson","WR","IND",135.8,137.9
"Skrzyskewski","Brandon Marshall","WR","NYJ",140.2,129.8
"Shokunbi","Jeremy Maclin","WR","KC",130.1,144.6
"Higdon","Sammy Watkins","WR","BUF",134,137.7
"Shokunbi","Mike Wallace","WR","MIN",117.4,126.7
"Regan","Rashad Jennings","RB","NYG",136.8,145.2
"McShane","Greg Olsen","TE","CAR",115.8,127.6
"Harrington","C.J. Spiller","RB","NO",141.9,110.7
"Regan","Jarvis Landry","WR","MIA",130.4,120.7
"Harrington","LeGarrette Blount","RB","NE",166.7,157.5
"Higdon","Isaiah Crowell","RB","CLE",167.7,137.1
"Olson","Allen Robinson","WR","JAC",133.9,112.9
"Higdon","Ben Roethlisberger","QB","PIT",280.2,276.9
"Kane","Travis Kelce","TE","KC",118.1,120.3
"Matovina","Eric Decker","WR","NYJ",115.8,114.7
"Kane","Nelson Agholor","WR","PHI",122.2,115.7
