"owner","player","pos","team","points"
"Hartman","Le'Veon Bell","RB","Pit",211.7
"Thieneman","Adrian Peterson","RB","Min",222.8
"Shokunbi","Eddie Lacy","RB","GB",233.6
"Ready","Jamaal Charles","RB","KC",219.8
"Matovina","Marshawn Lynch","RB","Sea",209.1
"Skrzyskewski","Antonio Brown","WR","Pit",209.4
"Olson","C.J. Anderson","RB","Den",225.1
"Matovina","Matt Forte","RB","Chi",202.3
"Harrington","DeMarco Murray","RB","Phi",204.3
"Regan","Demaryius Thomas","WR","Den",196.2
"Ready","LeSean McCoy","RB","Buf",206.3
"Matovina","Rob Gronkowski","TE","NE",162.7
"McShane","Dez Bryant","WR","Dal",194.7
"Skrzyskewski","Jeremy Hill","RB","Cin",203.4
"Harrington","Odell Beckham Jr.","WR","NYG",191.5
"Higdon","Julio Jones","WR","Atl",187.7
"Hartman","Calvin Johnson","WR","Det",188.2
"Ready","A.J. Green","WR","Cin",182.5
"McShane","Randall Cobb","WR","GB",178.6
"Kane","Aaron Rodgers","QB","GB",317.7
"Olson","Alshon Jeffery","WR","Chi",173.3
"Harrington","T.Y. Hilton","WR","Ind",168.5
"Regan","Mike Evans","WR","TB",160.9
"Thieneman","Mark Ingram","RB","NO",180.5
"Thieneman","Andrew Luck","QB","Ind",324.6
"Higdon","Emmanuel Sanders","WR","Den",155
"Ready","DeAndre Hopkins","WR","Hou",139.4
"Shokunbi","Alfred Morris","RB","Wsh",169.7
"Regan","Lamar Miller","RB","Mia",193.1
"Matovina","Brandin Cooks","WR","NO",159.4
"Olson","Jordan Matthews","WR","Phi",147
"Hartman","Jimmy Graham","TE","Sea",130.6
"McShane","Carlos Hyde","RB","SF",187.2
"Kane","Justin Forsett","RB","Bal",183.1
"Hartman","Keenan Allen","WR","SD",139.9
"Skrzyskewski","Russell Wilson","QB","Sea",300.8
"Skrzyskewski","Melvin Gordon","RB","SD",164.2
"Hartman","Peyton Manning","QB","Den",298.4
"Higdon","Jonathan Stewart","RB","Car",171.5
"Kane","Julian Edelman","WR","NE",148
"Matovina","Vincent Jackson","WR","TB",130.2
"Regan","Frank Gore","RB","Ind",176.7
"Kane","Drew Brees","QB","NO",302.3
"McShane","Tom Brady","QB","NE",296.7
"Shokunbi","DeSean Jackson","WR","Wsh",142.4
"Olson","Todd Gurley*","RB","StL",130
"McShane","Joique Bell","RB","Det",150.4
"Higdon","Amari Cooper","WR","Oak",133.2
"Olson","Latavius Murray","RB","Oak",166.1
"Ready","Golden Tate","WR","Det",138.1
"Skrzyskewski","Andre Ellington","RB","Ari",145.7
"Kane","Joseph Randle","RB","Dal",116
"Shokunbi","T.J. Yeldon","RB","Jac",154
