"X","year","name","pos","team","overall","pick"
1,2010,"Chris Johnson","RB","NYJ",1.4,1
2,2010,"Adrian Peterson","RB","MIN",2.1,2
3,2010,"Ray Rice","RB","BAL",3,3
4,2010,"Maurice Jones-Drew","RB","OAK",4.4,4
5,2010,"Andre Johnson","WR","HOU",5.6,1
6,2010,"Frank Gore","RB","SF",6,5
7,2010,"Aaron Rodgers","QB","GB",6.8,1
8,2010,"Michael Turner","RB","FA",8.1,6
9,2010,"Randy Moss","WR","SF",8.8,2
10,2010,"Steven Jackson","RB","ATL",11.8,7
11,2010,"Reggie Wayne","WR","IND",11.9,3
12,2010,"Drew Brees","QB","NO",12.1,2
13,2010,"Calvin Johnson","WR","DET",12.6,4
14,2010,"Ryan Mathews","RB","SD",14.8,8
15,2010,"Miles Austin","WR","CLE",15.1,5
16,2010,"Roddy White","WR","ATL",16.6,6
17,2010,"Peyton Manning","QB","DEN",17.7,3
18,2010,"Rashard Mendenhall","RB","ARI",18.2,9
19,2010,"Brandon Marshall","WR","CHI",18.9,7
20,2010,"Larry Fitzgerald","WR","ARI",19.2,8
21,2010,"DeAngelo Williams","RB","CAR",20.4,10
22,2010,"Greg Jennings","WR","MIN",21.5,9
23,2010,"DeSean Jackson","WR","WAS",24.2,10
24,2010,"Shonn Greene","RB","TEN",25,11
25,2010,"Tom Brady","QB","NE",25.2,4
26,2010,"Marques Colston","WR","NO",25.7,11
27,2010,"Jamaal Charles","RB","KC",27.3,12
28,2010,"Wes Welker","WR","DEN",28.2,12
29,2010,"Ryan Grant","RB","FA",28.5,13
30,2010,"Anquan Boldin","WR","SF",31.1,13
31,2010,"Cedric Benson","RB","GB",31.7,14
32,2010,"Matt Schaub","QB","OAK",31.9,5
33,2010,"Pierre Thomas","RB","NO",32.4,15
34,2010,"Steve Smith","WR","TB",34.2,14
35,2010,"Tony Romo","QB","DAL",35,6
36,2010,"Arian Foster","RB","HOU",36.3,16
37,2010,"Steve Smith","WR","BAL",36.6,15
38,2010,"LeSean McCoy","RB","PHI",37.5,17
39,2010,"Jahvid Best","RB","DET",38.5,18
40,2010,"Dallas Clark","TE","TB",40,1
41,2010,"Antonio Gates","TE","SD",42,2
42,2010,"Philip Rivers","QB","SD",42,7
43,2010,"Michael Crabtree","WR","SF",42.7,16
44,2010,"Jermichael Finley","TE","GB",42.8,3
45,2010,"Matt Forte","RB","CHI",44.3,19
46,2010,"Chad Johnson","WR","FA",45.2,17
47,2010,"Dwayne Bowe","WR","KC",47.4,18
48,2010,"Joseph Addai","RB","FA",47.6,20
49,2010,"Beanie Wells","RB","FA",48.2,21
50,2010,"Jonathan Stewart","RB","CAR",50.7,22
51,2010,"Vernon Davis","TE","SF",52,4
52,2010,"Knowshon Moreno","RB","MIA",52.4,23
53,2010,"Hakeem Nicks","WR","IND",53.1,19
54,2010,"Ronnie Brown","RB","SD",53.9,24
55,2010,"Jason Witten","TE","DAL",55.8,5
56,2010,"Mike Sims-Walker","WR","FA",56.3,20.5
57,2010,"Pierre Garcon","WR","WAS",56.3,20.5
58,2010,"C.J. Spiller","RB","BUF",57.7,25
59,2010,"Percy Harvin","WR","SEA",58,22
60,2010,"Hines Ward","WR","PIT",58.1,23
61,2010,"Malcom Floyd","WR","SD",59.8,24
62,2010,"Joe Flacco","QB","BAL",60.8,8
63,2010,"Brent Celek","TE","PHI",61.7,6
64,2010,"Kevin Kolb","QB","FA",64.8,9
65,2010,"Tony Gonzalez","TE","ATL",64.9,7
66,2010,"Felix Jones","RB","FA",65.2,26
67,2010,"Ahmad Bradshaw","RB","IND",65.4,27
68,2010,"Donald Driver","WR","GB",67.3,25
69,2010,"Reggie Bush","RB","DET",67.4,28
70,2010,"Terrell Owens","WR","FA",67.6,26
71,2010,"Justin Forsett","RB","BAL",67.9,29
72,2010,"Santana Moss","WR","WAS",72.2,27
73,2010,"Mike Wallace","WR","MIA",72.3,28
74,2010,"Jeremy Maclin","WR","PHI",73.7,29
75,2010,"Marion Barber","RB","CHI",75.1,30
