"year","player","pos","value","pick"
2012,"Aaron Hernandez","TE",18,3
2010,"Aaron Rodgers","QB",86,1
2013,"Aaron Rodgers","QB",106,2
2014,"Aaron Rodgers","QB",109,3
2015,"Aaron Rodgers","QB",104,2
2010,"Adrian Peterson","RB",107,2
2011,"Adrian Peterson","RB",102,1
2012,"Adrian Peterson","RB",66,11
2014,"Adrian Peterson","RB",97,2
2010,"Ahmad Bradshaw","RB",1,27
2012,"Ahmad Bradshaw","RB",55,19
2013,"Ahmad Bradshaw","RB",20,28
2014,"Ahmad Bradshaw","RB",1,47
2011,"A.J. Green","WR",11,36
2014,"A.J. Green","WR",81,4
2015,"A.J. Green","WR",80,7
2010,"Alex Smith","QB",2,19
2013,"Alex Smith","QB",10,22
2015,"Alfred Blue","RB",10,33
2015,"Allen Robinson","WR",29,27
2013,"Alshon Jeffery","WR",4,47
2015,"Alshon Jeffery","WR",44,11.5
2015,"Amari Cooper","WR",20,19
2015,"Ameer Abdullah","RB",11,22
2013,"Andre Brown","RB",1,50
2014,"Andre Ellington","RB",37,13
2015,"Andre Ellington","RB",15,25
2010,"Andre Johnson","WR",209,1
2011,"Andre Johnson","WR",71,1
2012,"Andre Johnson","WR",47,6
2014,"Andre Johnson","WR",46,19
2015,"Andre Johnson","WR",20,17
2013,"Andre Roberts","WR",1,64
2014,"Andre Williams","RB",2,43
2015,"Andre Williams","RB",1,54
2012,"Andrew Luck","QB",31,16
2013,"Andy Dalton","QB",20,15
2014,"Andy Dalton","QB",28,16
2015,"Andy Dalton","QB",8,24
2010,"Anquan Boldin","WR",28,13
2011,"Anquan Boldin","WR",28,22
2012,"Anquan Boldin","WR",18,34
2013,"Anquan Boldin","WR",18,33
2014,"Anquan Boldin","WR",4,45
2015,"Anquan Boldin","WR",6,45
2010,"Anthony Gonzalez","WR",1,45
2011,"Antonio Brown","WR",3,50
2013,"Antonio Brown","WR",30,22
2014,"Antonio Brown","WR",57,8
2015,"Antonio Brown","WR",77,2
2010,"Antonio Gates","TE",24,2
2011,"Antonio Gates","TE",41,1
2012,"Antonio Gates","TE",21,4
2013,"Antonio Gates","TE",9,8
2010,"Arian Foster","RB",2,16
2015,"Arian Foster","RB",23,19
2011,"Austin Collie","WR",17,29
2010,"Beanie Wells","RB",40,21
2011,"Beanie Wells","RB",25,25
2012,"Beanie Wells","RB",18,35
2011,"BenJarvus Green-Ellis","RB",23,28
2012,"BenJarvus Green-Ellis","RB",22,22
2013,"BenJarvus Green-Ellis","RB",6,36
2010,"Ben Roethlisberger","QB",7,16
2014,"Ben Roethlisberger","QB",36,17
2015,"Ben Roethlisberger","QB",70,5
2012,"Ben Tate","RB",10,32
2013,"Ben Tate","RB",4,33
2014,"Ben Tate","RB",43,25
2010,"Bernard Berrian","WR",1,44
2013,"Bernard Pierce","RB",4,40
