"","year","owner","player","team","pos","value","keeper"
"1","2010","Hartman","Tom Brady","NE"," QB",77,0
"2","2010","Hartman","Andre Johnson","Hou"," WR",209,0
"3","2010","Hartman","Bengals Coach","Cin"," HC",1,0
"4","2010","Hartman","Mike Nugent","Cin"," K",1,0
"5","2010","Hartman","Mike Tolbert","SD"," RB",1,0
"6","2010","Hartman","Pat White","FA"," QB",1,0
"7","2010","Hartman","Michael Vick","Phi"," QB",1,0
"8","2010","Hartman","Steve Slaton","Hou"," RB",1,0
"9","2010","Hartman","Bernard Berrian","Min"," WR",1,0
"10","2010","Hartman","John Carlson","Sea"," TE",1,0
"11","2010","Hartman","Josh Morgan","SF"," WR",1,0
"12","2010","Hartman","Matt Leinart","Hou"," QB",1,0
"13","2010","Hartman","Montario Hardesty","Cle"," RB",1,0
"14","2010","Hartman","Tim Hightower","Ari"," RB",1,0
"15","2010","Hartman","Devery Henderson","NO"," WR",1,0
"16","2010","Hartman","Texans D/ST","Hou"," D/",1,0
"17","2010","Kane","Drew Brees","NO"," QB",78,0
"18","2010","Kane","Miles Austin","Dal"," WR",48,0
"19","2010","Kane","Jamaal Charles","KC"," RB",28,0
"20","2010","Kane","Pierre Thomas","NO"," RB",30,0
"21","2010","Kane","Jay Cutler","Chi"," QB",17,0
"22","2010","Kane","Dallas Clark","Ind"," TE",22,0
"23","2010","Kane","Johnny Knox","Chi"," WR",9,0
"24","2010","Kane","Percy Harvin","Min"," WR",16,0
"25","2010","Kane","Carson Palmer","Cin"," QB",6,0
"26","2010","Kane","Braylon Edwards","NYJ"," WR",9,0
"27","2010","Kane","Matt Ryan","Atl"," QB",16,0
"28","2010","Kane","Stephen Gostkowski","NE"," K",2,0
"29","2010","Kane","Matt Prater","Den"," K",1,0
"30","2010","Kane","Anthony Gonzalez","Ind"," WR",1,0
"31","2010","Kane","Bengals D/ST","Cin"," D/",1,0
"32","2010","Kane","Panthers Coach","Car"," HC",1,0
"33","2010","Harrington","Chris Johnson","Ten"," RB",114,0
"34","2010","Harrington","Shonn Greene","NYJ"," RB",55,0
"35","2010","Harrington","Reggie Wayne","Ind"," WR",59,0
"36","2010","Harrington","LaDainian Tomlinson","NYJ"," RB",8,0
"37","2010","Harrington","Tim Tebow","Den"," QB",2,0
"38","2010","Harrington","Robert Meachem","NO"," WR",11,0
"39","2010","Harrington","Donovan McNabb","Was"," QB",7,0
"40","2010","Harrington","Troy Williamson","FA"," WR",2,0
"41","2010","Harrington","Derrick Mason","Bal"," WR",7,0
