"player","pos","pred_cost","pred_cost2","ppg"
"Antonio Brown","WR",14,14,18.5036
"Todd Gurley","RB",38,38,17.9346846153846
"Odell Beckham","WR",69,69,16.6128230769231
"Julio Jones","WR",13,13,16.4985923076923
"David Johnson","RB",74,74,17.2435538461538
"Adrian Peterson","RB",12,12,16.2825538461538
"Lamar Miller","RB",74,74,16.1228538461538
"DeAndre Hopkins","WR",20,20,15.1158846153846
"Jamaal Charles","RB",35,35,15.8419615384615
"Ezekiel Elliott","RB",70,70,15.8292615384615
"Cam Newton","QB",45,45,25.6447076923077
"Dez Bryant","WR",2,2,14.5413076923077
"Rob Gronkowski","TE",34,34,13.5058461538462
"Devonta Freeman","RB",47,47,14.9323923076923
"A.J. Green","WR",93,93,14.0401692307692
"Jordy Nelson","WR",49,49,13.9060307692308
"Allen Robinson","WR",39,39,13.8112615384615
"LeSean McCoy","RB",14,14,14.6169307692308
"Aaron Rodgers","QB",34,34,24.5190923076923
"Alshon Jeffery","WR",43,43,13.4620230769231
"Brandon Marshall","WR",17,17,13.4509384615385
"LeVeon Bell","RB",29,29,14.2595461538462
"Mark Ingram","RB",7,7,14.2037
"Russell Wilson","QB",21,21,24.2960846153846
"Eddie Lacy","RB",52,52,13.9192846153846
"Mike Evans","WR",48,48,13.0263692307692
"Keenan Allen","WR",15,15,12.9722769230769
"Doug Martin","RB",49,49,13.6471076923077
"Amari Cooper","WR",11,11,12.5753384615385
"Brandin Cooks","WR",56,56,12.5452461538462
"T.Y. Hilton","WR",35,35,12.5120461538462
"Sammy Watkins","WR",35,35,12.4946153846154
"Thomas Rawls","RB",45,45,13.3481461538462
"Jordan Reed","TE",52,52,11.3475846153846
"Randall Cobb","WR",55,55,11.8801230769231
"C.J. Anderson","RB",59,59,12.7040846153846
"Andrew Luck","QB",29,29,22.8721538461538
"Demaryius Thomas","WR",27,27,11.7418153846154
"Carlos Hyde","RB",37,37,12.5239076923077
"Greg Olsen","TE",52,52,10.6763615384615
"Eric Decker","WR",48,48,11.6109615384615
"Matt Forte","RB",31,31,12.4759
"Jarvis Landry","WR",15,15,11.5519615384615
"Golden Tate","WR",36,36,11.4813692307692
"Doug Baldwin","WR",51,51,11.4552
"Kelvin Benjamin","WR",20,20,11.3088923076923
"Jeremy Maclin","WR",39,39,11.1808461538462
"DeMarco Murray","RB",3,3,12.0394384615385
"Jeremy Hill","RB",79,79,11.9512692307692
"Latavius Murray","RB",22,22,11.9015692307692
"Drew Brees","QB",68,68,22.0011846153846
"Jonathan Stewart","RB",18,18,11.7904384615385
"Donte Moncrief","WR",14,14,10.8798307692308
"Michael Floyd","WR",35,35,10.8535538461538
"Jeremy Langford","RB",37,37,11.6934076923077
"Larry Fitzgerald","WR",39,39,10.8075307692308
"Julian Edelman","WR",6,6,10.7967384615385
"Matt Jones","RB",28,28,11.6152230769231
"Emmanuel Sanders","WR",75,75,10.6339538461538
"Delanie Walker","TE",35,35,9.63959230769231
"John Brown","WR",38,38,10.3514538461538
"Ben Roethlisberger","QB",25,25,21.3789769230769
"Ryan Mathews","RB",8,8,11.1978461538462
"Jordan Matthews","WR",9,9,10.3250384615385
"Coby Fleener","TE",32,32,9.2183
"Michael Crabtree","WR",38,38,10.0735923076923
"Blake Bortles","QB",54,54,21.1043384615385
"Frank Gore","RB",55,55,10.8710384615385
"Travis Kelce","TE",1,1,9.02340769230769
"Tyler Lockett","WR",22,22,9.95395384615385
"Philip Rivers","QB",29,29,20.9100461538462
"Dion Lewis","RB",45,45,10.7009230769231
"Rashad Jennings","RB",31,31,10.6724846153846
"Ameer Abdullah","RB",60,60,10.6617384615385
"Arian Foster","RB",42,42,10.6413692307692
"DeSean Jackson","WR",40,40,9.74206153846154
"Allen Hurns","WR",1,1,9.71767692307692
"Melvin Gordon","RB",31,31,10.5458538461538
"Tavon Austin","WR",44,44,9.60256923076923
"Kirk Cousins","QB",25,25,20.6181923076923
"DeVante Parker","WR",13,13,9.56954615384615
"Eli Manning","QB",30,30,20.5923076923077
"Panthers","DST",41,41,10.5235615384615
"Stephen Gostkowski","K",45,45,11.9303153846154
"Giovani Bernard","RB",6,6,10.3411923076923
"Carson Palmer","QB",2,2,20.5160230769231
"Tyrod Taylor","QB",30,30,20.4555615384615
"Danny Woodhead","RB",58,58,10.1391615384615
"Tyler Eifert","TE",7,7,8.31065384615385
"Torrey Smith","WR",59,59,9.24999230769231
"Jameis Winston","QB",24,24,20.2852923076923
"Broncos","DST",27,27,10.2712923076923
"Gary Barnidge","TE",24,24,8.2388
"Matthew Stafford","QB",37,37,20.1741846153846
"Marvin Jones","WR",50,50,9.11030769230769
"Duke Johnson","RB",31,31,9.97153846153846
"Stefon Diggs","WR",35,35,8.96961538461538
"Kevin White","WR",49,49,8.96706923076923
"Julius Thomas","TE",34,34,7.96678461538462
"Andy Dalton","QB",13,13,19.9566769230769
"Antonio Gates","TE",52,52,7.94115384615385
"T.J. Yeldon","RB",31,31,9.72734615384615
"Justin Tucker","K",47,47,11.2621769230769
"Derek Carr","QB",47,47,19.7806692307692
"Ryan Fitzpatrick","QB",52,52,19.7343153846154
"Zach Ertz","TE",34,34,7.73616153846154
"Willie Snead","WR",34,34,8.66608461538462
"Sterling Shepard","WR",16,16,8.64143846153846
"Cardinals","DST",29,29,9.69066153846154
"Zach Miller","TE",29,29,7.65750769230769
"Justin Forsett","RB",54,54,9.46446923076923
"Chris Boswell","K",65,65,11.0480230769231
"Jason Witten","TE",43,43,7.63123076923077
"Chiefs","DST",54,54,9.58884615384615
"Martellus Bennett","TE",60,60,7.55590769230769
"Alex Smith","QB",10,10,19.4882384615385
"Dwayne Allen","TE",59,59,7.44768461538462
"Steven Hauschka","K",21,21,10.7974461538462
"Vincent Jackson","WR",11,11,8.30170769230769
"Isaiah Crowell","RB",35,35,9.01816923076923
"Graham Gano","K",23,23,10.5796846153846
"Corey Coleman","WR",47,47,8.1221
"Ryan Tannehill","QB",64,64,19.1604
"LeGarrette Blount","RB",49,49,8.96894615384615
"Steelers","DST",21,21,9.14832307692308
"Vikings","DST",23,23,9.07917692307692
"Rams","DST",33,33,9.07348461538461
"Tony Romo","QB",41,41,19.0308384615385
"Charles Sims","RB",48,48,8.84876923076923
"Chris Ivory","RB",34,34,8.82430769230769
"Marcus Mariota","QB",33,33,18.9962692307692
"Texans","DST",48,48,8.98530769230769
"Ladarius Green","TE",30,30,6.95339230769231
"Blair Walsh","K",46,46,10.3516307692308
"Travis Benjamin","WR",34,34,7.8953
"Brandon McManus","K",62,62,10.3439923076923
"Packers","DST",23,23,8.9143
"Matt Ryan","QB",30,30,18.8885
"Dan Bailey","K",32,32,10.2876384615385
"Sammie Coates","WR",93,93,7.80663076923077
"Jaguars","DST",26,26,8.84183846153846
"Josh Gordon","WR",67,67,7.76153076923077
"Markus Wheaton","WR",28,28,7.75572307692308
"Eagles","DST",76,76,8.76150769230769
"Redskins","DST",77,77,8.74191538461539
"Jimmy Graham","TE",17,17,6.70083846153846
"Raiders","DST",37,37,8.68688461538462
"Cairo Santos","K",36,36,10.0834923076923
"Patriots","DST",56,56,8.63003846153846
"Charles Clay","TE",72,72,6.62221538461539
"Chandler Catanzaro","K",41,41,10.0198846153846
"Bengals","DST",50,50,8.61252307692308
"DeAngelo Williams","RB",24,24,8.41554615384615
"Seahawks","DST",5,5,8.59012307692308
"Eric Ebron","TE",49,49,6.57220769230769
"Colts","DST",72,72,8.5563
"Joe Flacco","QB",49,49,18.5539461538462
"Steve Smith","WR",45,45,7.49148461538462
"Mason Crosby","K",36,36,9.91804615384615
"Laquon Treadwell","WR",36,36,7.45446923076923
"Matt Bryant","K",22,22,9.83063846153846
"Kamar Aiken","WR",39,39,7.30163846153846
"Terrance Williams","WR",21,21,7.26873076923077
"Matt Prater","K",48,48,9.64587692307692
"Buccaneers","DST",30,30,8.2366
"Pierre Garcon","WR",34,34,7.17191538461538
"Jets","DST",54,54,8.20819230769231
"Robbie Gould","K",44,44,9.58984615384616
"Lions","DST",61,61,8.17270769230769
"Bilal Powell","RB",26,26,7.95783846153846
"Dan Carpenter","K",54,54,9.51426923076923
"Mohamed Sanu","WR",57,57,7.04656923076923
"Jay Cutler","QB",1,1,18.0367076923077
"Clive Walford","TE",48,48,6.03851538461538
"Giants","DST",10,10,8.03684615384615
"Mike Nugent","K",43,43,9.40058461538461
"Nick Folk","K",45,45,9.38609230769231
"Kyle Rudolph","TE",54,54,5.96275384615385
"Rishard Matthews","WR",23,23,6.90921538461538
"Phillip Dorsett","WR",23,23,6.90362307692308
"Michael Thomas","WR",8,8,6.89316923076923
"Kenny Britt","WR",35,35,6.8926
"Chargers","DST",32,32,7.89813076923077
"Tom Brady","QB",6,6,17.8886384615385
"Nick Novak","K",41,41,9.29639230769231
"Devin Funchess","WR",68,68,6.82407692307692
"Dustin Hopkins","K",76,76,9.27009230769231
"Mike Wallace","WR",22,22,6.80641538461539
"Josh Lambo","K",32,32,9.24680769230769
"Adam Vinatieri","K",56,56,9.15226923076923
"Theo Riddick","RB",32,32,7.55998461538462
"Josh Brown","K",66,66,9.14435384615385
"Bills","DST",54,54,7.71267692307692
"Derrick Henry","RB",50,50,7.51065384615385
"Brock Osweiler","QB",31,31,17.5462538461538
"Darren Sproles","RB",34,34,7.36454615384615
"Jared Cook","TE",42,42,5.51406153846154
"Jordan Cameron","TE",57,57,5.47803846153846
"Will Tye","TE",60,60,5.4634
"Robert Woods","WR",50,50,6.40897692307692
"Dorial Green-Beckham","WR",24,24,6.39682307692308
"Titans","DST",1,1,7.41783846153846
"Sebastian Janikowski","K",77,77,8.81677692307692
"Bears","DST",63,63,7.39606923076923
"Jason Myers","K",50,50,8.77394615384615
"Dolphins","DST",42,42,7.3146
"Shane Vereen","RB",54,54,7.12652307692308
"Benjamin Watson","TE",33,33,5.30183846153846
"Ravens","DST",66,66,7.26596153846154
"Phil Dawson","K",16,16,8.65258461538462
"Jermaine Kearse","WR",36,36,6.18409230769231
"Falcons","DST",35,35,7.22597692307692
"Jay Ajayi","RB",36,36,7.03993076923077
"Anquan Boldin","WR",24,24,6.12153076923077
"Austin Seferian-Jenkins","TE",71,71,5.14322307692308
"Tyler Boyd","WR",63,63,6.07958461538461
"Jaelen Strong","WR",19,19,6.05221538461538
"Ted Ginn","WR",39,39,6.04605384615385
"James Starks","RB",45,45,6.82909230769231
"Will Fuller","WR",46,46,5.95198461538462
"Nelson Agholor","WR",41,41,5.92013846153846
"Kendall Wright","WR",44,44,5.90100769230769
"Vance McDonald","TE",36,36,4.89783076923077
"Cole Beasley","WR",34,34,5.81333076923077
"Travis Coons","K",50,50,8.25166923076923
"Browns","DST",9,9,6.82654615384615
"Jacob Tamme","TE",19,19,4.75560769230769
"Cowboys","DST",45,45,6.61099230769231
"Roberto Aguayo","K",48,48,7.99509230769231
"Cody Parkey","K",38,38,7.99056153846154
"Jace Amaro","TE",58,58,4.53846153846154
"Cameron Brate","TE",54,54,4.53225384615385
"49ers","DST",28,28,6.46579230769231
"Tevin Coleman","RB",9,9,6.27620769230769
"Brandon LaFell","WR",62,62,5.30796153846154
"Jordan Howard","RB",55,55,6.17484615384615
"Jeff Heuerman","TE",3,3,4.34636153846154
"Richard Rodgers","TE",29,29,4.33093076923077
"Chris Hogan","WR",37,37,5.27998461538462
"Teddy Bridgewater","QB",13,13,16.2987
"Josh Doctson","WR",53,53,5.2237
"Devontae Booker","RB",38,38,6.05966923076923
"Bruce Ellington","WR",78,78,5.16177692307692
"Jamison Crowder","WR",47,47,5.13463076923077
"Jerick McKinnon","RB",16,16,5.99602307692308
"Ryan Succop","K",64,64,7.58097692307692
"Andrew Franks","K",70,70,7.56670769230769
"Saints","DST",65,65,6.15166923076923
"C.J. Prosise","RB",22,22,5.96076153846154
"Seth Roberts","WR",71,71,5.0673
"Lance Kendricks","TE",71,71,4.0895
"Kai Forbath","K",38,38,7.43371538461538
"Greg Zuerlein","K",12,12,7.39905384615385
"Albert Wilson","WR",26,26,4.88043846153846
"Davante Adams","WR",35,35,4.77903846153846
"Javorius Allen","RB",45,45,5.60291538461539
"Tim Hightower","RB",49,49,5.60016923076923
"Breshad Perriman","WR",43,43,4.67377692307692
"Victor Cruz","WR",26,26,4.65917692307692
"James Jones","WR",22,22,4.63846153846154
"Darren Fells","TE",32,32,3.53394615384615
"Chris Thompson","RB",46,46,5.31600769230769
"Larry Donnell","TE",39,39,3.48028461538461
"Eddie Royal","WR",35,35,4.40366923076923
"Rueben Randle","WR",57,57,4.39046923076923
"DeAndre Washington","RB",24,24,5.23953846153846
"Shaun Draughn","RB",26,26,5.2347
"Luke Willson","TE",39,39,3.41166923076923
"Brent Celek","TE",35,35,3.40937692307692
"Chris Conley","WR",27,27,4.34821538461538
"Kenny Stills","WR",36,36,4.32523846153846
"Danny Amendola","WR",17,17,4.3091
"Garrett Celek","TE",54,54,3.34777692307692
"Ryan Griffin","TE",48,48,3.31314615384615
"Spencer Ware","RB",29,29,5.10896923076923
"Justin Hardy","WR",43,43,4.20629230769231
"Quinton Patton","WR",55,55,4.18933076923077
"Jarius Wright","WR",29,29,4.17997692307692
"Leonte Carroo","WR",10,10,4.13214615384615
"Tyler Higbee","TE",26,26,3.15888461538462
"Kenneth Dixon","RB",53,53,4.93783846153846
"Hunter Henry","TE",59,59,3.07181538461538
"Josh Ferguson","RB",40,40,4.82887692307692
"Paul Perkins","RB",75,75,4.79452307692308
"Karlos Williams","RB",23,23,4.78419230769231
"Chris Johnson","RB",54,54,4.76772307692308
"Jermaine Gresham","TE",65,65,2.88800769230769
"Mychal Rivera","TE",18,18,2.85718461538462
"Andrew Hawkins","WR",44,44,3.78334615384615
"Darren McFadden","RB",14,14,4.63203846153846
"Braxton Miller","WR",25,25,3.73242307692308
"Rashad Greene","WR",6,6,3.7206
"Caleb Sturgis","K",74,74,6.15480769230769
"Wendell Smallwood","RB",36,36,4.53442307692308
"Jack Doyle","TE",63,63,2.71232307692308
"Austin Hooper","TE",40,40,2.67230769230769
"Robert Griffin","QB",13,13,14.6630153846154
"Josh Hill","TE",17,17,2.66570769230769
"Tajae Sharpe","WR",50,50,3.58476153846154
"Crockett Gillmore","TE",85,85,2.62787692307692
"Benny Cunningham","RB",15,15,4.4399
"Philly Brown","WR",54,54,3.52873846153846
"KaDeem Carey","RB",13,13,4.36275384615385
"Maxx Williams","TE",6,6,2.50886153846154
"Cecil Shorts","WR",52,52,3.43904615384615
"Marcedes Lewis","TE",23,23,2.46557692307692
"C.J. Spiller","RB",28,28,4.26453846153846
"Pharoh Cooper","WR",21,21,3.39466153846154
"J.J. Nelson","WR",66,66,3.37353076923077
"Virgil Green","TE",48,48,2.37637692307692
"Ronnie Hillman","RB",39,39,4.11757692307692
"Tyler Kroft","TE",26,26,2.29236153846154
"Niles Paul","TE",26,26,2.22193076923077
"Anthony Fasano","TE",37,37,2.21353076923077
"Jeff Janis","WR",1,1,3.1345
"Terrelle Pryor","WR",56,56,3.07692307692308
"Terrelle Pryor","WR",32,32,3.07692307692308
"Charcandrick West","RB",10,10,3.93711538461538
"MyCole Pruitt","TE",25,25,2.08175384615385
"Mike Tolbert","RB",51,51,3.89765384615385
"Sam Bradford","QB",12,12,14.0631846153846
"Jesse James","TE",6,6,2.06437692307692
"Terrance West","RB",1,1,3.87869230769231
"Andre Ellington","RB",37,37,3.85873846153846
"Dwayne Harris","WR",32,32,2.96754615384615
"Gavin Escobar","TE",25,25,1.96957692307692
"Dontrelle Inman","WR",20,20,2.90141538461538
"C.J. Fiedorowicz","TE",31,31,1.90240769230769
"Marqise Lee","WR",55,55,2.80462307692308
"Ed Dickson","TE",79,79,1.85203846153846
"Tyrell Williams","WR",27,27,2.79668461538462
"Alfred Morris","RB",63,63,3.66236153846154
"DeAndre Smelter","WR",64,64,2.79117692307692
"Andre Holmes","WR",74,74,2.73291538461538
"Craig Stevens","TE",22,22,1.76730769230769
"Mike Gillislee","RB",30,30,3.58134615384615
"Alfred Blue","RB",22,22,3.57373076923077
"Quincy Enunwa","WR",54,54,2.69950769230769
"Chris Gragg","TE",57,57,1.70091538461538
"Blake Bell","TE",47,47,1.68698461538462
"Darrius Heyward-Bey","WR",40,40,2.63112307692308
"Dion Sims","TE",64,64,1.66013076923077
"Cameron Artis-Payne","RB",41,41,3.47607692307692
"Ryan Hewitt","TE",50,50,1.64346923076923
"Josh Huff","WR",49,49,2.5905
"Brandon Coleman","WR",50,50,2.5662
"Ty Montgomery","WR",4,4,2.54686153846154
"Brian Quick","WR",26,26,2.53247692307692
"T.J. Jones","WR",33,33,2.52633076923077
"Dezmin Lewis","WR",21,21,2.52631538461538
"Rhett Ellison","TE",41,41,1.57355384615385
"Tyler Ervin","RB",65,65,3.33623076923077
"Vernon Davis","TE",98,98,1.51643076923077
"Christine Michael","RB",69,69,3.32589230769231
"Steve Johnson","WR",30,30,2.45399230769231
"Khiry Robinson","RB",53,53,3.29516923076923
"Devin Smith","WR",60,60,2.40966923076923
"Brandon Pettigrew","TE",24,24,1.45801538461538
"Kenyan Drake","RB",39,39,3.23820769230769
"Nate Washington","WR",39,39,2.33206153846154
"Jerome Simpson","WR",48,48,2.20959230769231
"Jared Goff","QB",45,45,13.2509076923077
"Bennie Fowler","WR",50,50,2.20108461538462
"Rob Housler","TE",26,26,1.2432
"Brice Butler","WR",13,13,2.19228461538462
"Kenny Bell","WR",42,42,2.14206153846154
"Cory Harkey","TE",63,63,1.18031538461538
"Robert Turbin","RB",29,29,2.98405384615385
"Dexter McCluster","RB",47,47,2.96364615384615
"Andrew Quarless","TE",23,23,1.1449
"Dennis Pitta","TE",46,46,1.13933076923077
"Jordan Norwood","WR",35,35,2.08573846153846
"Cody Latimer","WR",72,72,2.07915384615385
"James OShaughnessy","TE",24,24,1.10716153846154
"Adam Humphries","WR",59,59,2.04767692307692
"Michael Hoomanawanui","TE",73,73,1.05058461538462
"Lee Smith","TE",19,19,1.04932307692308
"James Hanna","TE",7,7,1.03203076923077
"Jim Dray","TE",45,45,1.01771538461538
"Zach Zenner","RB",41,41,2.81806923076923
"Malcolm Mitchell","WR",35,35,1.94465384615385
"Louis Murphy","WR",29,29,1.90383076923077
"Nick Williams","WR",61,61,1.87638461538462
"Demetrius Harris","TE",49,49,0.926061538461538
"Taylor Gabriel","WR",81,81,1.86047692307692
"Marquess Wilson","WR",66,66,1.85954615384615
"Charles Johnson","WR",12,12,1.85670769230769
"Quan Bray","WR",37,37,1.85161538461538
"Tre Mason","RB",39,39,2.67549230769231
"Kenbrell Thompkins","WR",42,42,1.79298461538462
"Erik Swoope","TE",32,32,0.8397
"Ricardo Louis","WR",39,39,1.7785
"Rashard Higgins","WR",66,66,1.75633076923077
"Trey Burton","TE",32,32,0.799607692307692
"Paul Richardson","WR",35,35,1.74202307692308
"Ryan Grant","WR",64,64,1.70987692307692
"Keith Marshall","RB",24,24,2.54876153846154
"Marcel Reece","RB",39,39,2.54560769230769
"Blaine Gabbert","QB",41,41,12.7154076923077
"Kellen Davis","TE",28,28,0.705453846153846
"Mike Thomas","WR",32,32,1.65384615384615
"Jake Stoneburner","TE",57,57,0.665976923076923
"Clay Harbor","TE",1,1,0.650146153846154
"Justin Perillo","TE",16,16,0.627446153846154
"Nick Vannett","TE",9,9,0.623238461538462
"Mack Brown","RB",26,26,2.43331538461538
"Branden Oliver","RB",68,68,2.42333846153846
"Harry Douglas","WR",18,18,1.54355384615385
"Troy Niklas","TE",62,62,0.593615384615385
"Jaron Brown","WR",60,60,1.52085384615385
"Justice Cunningham","TE",69,69,0.567076923076923
"Logan Paulsen","TE",54,54,0.541269230769231
"Stevan Ridley","RB",1,1,2.35466923076923
"James White","RB",46,46,2.33933846153846
"Josh Bellamy","WR",60,60,1.46779230769231
"Chris Givens","WR",1,1,1.46433076923077
"Jeff Cumberland","TE",38,38,0.502892307692308
"C.J. Uzomah","TE",17,17,0.499230769230769
"Andre Roberts","WR",63,63,1.44873846153846
"Chris Moore","WR",51,51,1.44628461538462
"Jeremy Kerley","WR",40,40,1.44246153846154
