"player","pos","pred_cost","ppg","pred_cost2"
"Antonio Brown","WR",88.4389667541708,18.5036,95.3389667541708
"Cam Newton","QB",82.0938699815972,25.6447076923077,96.4938699815972
"Aaron Rodgers","QB",94.8475713067012,24.5190923076923,109.247571306701
"Odell Beckham Jr","WR",78.8881350819161,16.6128230769231,85.7881350819162
"Julio Jones","WR",88.3797699583417,16.4985923076923,95.2797699583417
"Le'Veon Bell","RB",76.9122149792439,14.2595461538462,87.1122149792439
"Todd Gurley","RB",77.2663482044834,17.9346846153846,87.4663482044834
"Russell Wilson","QB",76.8497886355911,24.2960846153846,91.2497886355911
"Adrian Peterson","RB",81.7790856351214,16.2825538461538,91.9790856351214
"David Johnson","RB",69.6746865203855,17.2435538461538,79.8746865203856
"Andrew Luck","QB",81.4752710558229,22.8721538461538,95.8752710558229
"DeAndre Hopkins","WR",70.8350998398301,15.1158846153846,77.7350998398302
"A.J. Green","WR",76.0958929952333,14.0401692307692,82.9958929952333
"Ezekiel Elliott","RB",63.1057688437024,15.8292615384615,73.3057688437024
"Drew Brees","QB",77.3099368056689,22.0011846153846,91.7099368056689
"Lamar Miller","RB",68.0716414522154,16.1228538461538,78.2716414522154
"Dez Bryant","WR",80.6219053666542,14.5413076923077,87.5219053666542
"Rob Gronkowski","TE",74.2019569832136,13.5058461538462,80.2019569832136
"Allen Robinson","WR",63.0043046087931,13.8112615384615,69.9043046087931
"Jamaal Charles","RB",67.5932148672799,15.8419615384615,77.7932148672799
"Jordy Nelson","WR",59.1601800322668,13.9060307692308,66.0601800322668
"Devonta Freeman","RB",55.4198318200862,14.9323923076923,65.6198318200862
"Ben Roethlisberger","QB",64.7558758399092,21.3789769230769,79.1558758399092
"Keenan Allen","WR",59.9399525944501,12.9722769230769,66.8399525944501
"Carson Palmer","QB",55.2882960245365,20.5160230769231,69.6882960245365
"Eddie Lacy","RB",55.6305292861982,13.9192846153846,65.8305292861982
"Tom Brady","QB",60.1037116492621,17.8886384615385,74.5037116492621
"Mike Evans","WR",42.6472537821397,13.0263692307692,49.5472537821397
"Alshon Jeffery","WR",45.0873096843368,13.4620230769231,51.9873096843368
"Amari Cooper","WR",40.3611851650616,12.5753384615385,47.2611851650616
"Doug Martin","RB",43.7913264165282,13.6471076923077,53.9913264165282
"Brandon Marshall","WR",42.0965965149217,13.4509384615385,48.9965965149217
"Mark Ingram","RB",42.1929920150187,14.2037,52.3929920150187
"Blake Bortles","QB",37.6262391592224,21.1043384615385,52.0262391592224
"LeSean McCoy","RB",43.1235411178647,14.6169307692308,53.3235411178647
"Eli Manning","QB",49.9498318371842,20.5923076923077,64.3498318371842
"Brandin Cooks","WR",43.5674864109554,12.5452461538462,50.4674864109554
"Thomas Rawls","RB",31.9702336449676,13.3481461538462,42.1702336449676
"T.Y. Hilton","WR",43.175048989411,12.5120461538462,50.075048989411
"Demaryius Thomas","WR",37.2839850404216,11.7418153846154,44.1839850404216
"Kelvin Benjamin","WR",30.339523403021,11.3088923076923,37.239523403021
"Philip Rivers","QB",33.4820631012789,20.9100461538462,47.8820631012789
"Matt Forte","RB",41.6838814840948,12.4759,51.8838814840948
"Sammy Watkins","WR",30.5336712822029,12.4946153846154,37.4336712822029
"C.J. Anderson","RB",33.2176964690088,12.7040846153846,43.4176964690088
"Tony Romo","QB",50.3064025185634,19.0308384615385,64.7064025185634
"Latavius Murray","RB",31.0098233693136,11.9015692307692,41.2098233693136
"Randall Cobb","WR",34.5676453617027,11.8801230769231,41.4676453617027
"Jarvis Landry","WR",30.3517514358483,11.5519615384615,37.2517514358483
"Carlos Hyde","RB",32.4123065503273,12.5239076923077,42.6123065503273
"Derek Carr","QB",27.4023206995987,19.7806692307692,41.8023206995987
"Jordan Reed","TE",29.7492605181949,11.3475846153846,35.7492605181949
"Julian Edelman","WR",31.1913288184582,10.7967384615385,38.0913288184582
"DeMarco Murray","RB",38.8806607668795,12.0394384615385,49.0806607668795
"Matthew Stafford","QB",44.7759718863818,20.1741846153846,59.1759718863818
"Jeremy Langford","RB",26.3555781855826,11.6934076923077,36.5555781855826
"Golden Tate","WR",30.5174393312199,11.4813692307692,37.4174393312199
"Dion Lewis","RB",24.4822641316744,10.7009230769231,34.6822641316744
"Greg Olsen","TE",33.3736611903632,10.6763615384615,39.3736611903632
"Andy Dalton","QB",27.7575738859232,19.9566769230769,42.1575738859232
"Doug Baldwin","WR",24.4410366800776,11.4552,31.3410366800776
"Jeremy Maclin","WR",27.5799747440793,11.1808461538462,34.4799747440793
"Matt Jones","RB",24.2704468840902,11.6152230769231,34.4704468840902
"Jameis Winston","QB",26.2161334994018,20.2852923076923,40.6161334994018
"Kirk Cousins","QB",24.4335594053928,20.6181923076923,38.8335594053928
