"name","pos","overall","pick","year","player","lag1_pos_rank","lag2_pos_rank","lag3_pos_rank","lag4_pos_rank","lag5_pos_rank","lag1_overall","lag2_overall","lag3_overall","lag4_overall","lag5_overall"
"Aaron Rodgers","QB",3.3,1.03,2016,"Aaron Rodgers",2,3,2,1,2,21.2,18.5,24.7,2.1,9.3
"Adrian Peterson","RB",8.6,1.09,2016,"Adrian Peterson",1,2,1,11,1,1.9,3.1,1.3,18.4,1.5
"A.J. Green","WR",12.1,1.12,2016,"A.J. Green",7,4,3,5,36,18.5,13.7,17.8,26.3,98.1
"Alex Smith","QB",143.9,12.12,2016,"Alex Smith",NA,NA,22,NA,NA,NA,NA,156.3,NA,NA
"Alfred Morris","RB",155,13.11,2016,"Alfred Morris",16,12,10,48,NA,34.6,24.2,11.1,144.8,NA
"Allen Hurns","WR",70.1,6.1,2016,"Allen Hurns",64,NA,NA,NA,NA,158.4,NA,NA,NA,NA
"Allen Robinson","WR",19,2.07,2016,"Allen Robinson",27,NA,NA,NA,NA,61.6,NA,NA,NA,NA
"Alshon Jeffery","WR",28.2,3.04,2016,"Alshon Jeffery",11.5,9,47,NA,NA,27.8,25.3,118.1,NA,NA
"Amari Cooper","WR",29.1,3.05,2016,"Amari Cooper",19,NA,NA,NA,NA,42.5,NA,NA,NA,NA
"Ameer Abdullah","RB",79.1,7.07,2016,"Ameer Abdullah",22,NA,NA,NA,NA,43.5,NA,NA,NA,NA
"Andrew Luck","QB",10.2,1.1,2016,"Andrew Luck",1,5,9,16,NA,11.5,47,71.4,108,NA
"Andy Dalton","QB",58.7,5.11,2016,"Andy Dalton",24,16,15,NA,NA,160.7,121.3,119.6,NA,NA
"Anquan Boldin","WR",167.3,14.11,2016,"Anquan Boldin",45,45,33,34,22,110.4,112.7,83.4,89.8,56
"Antonio Brown","WR",1.8,1.02,2016,"Antonio Brown",2,8,22,15,50,8.5,22.3,56.8,43.3,126.3
"Antonio Gates","TE",128.4,11.08,2016,"Antonio Gates",15,14,8,4,1,145.1,138.9,88.9,45.6,37.8
"Arian Foster","RB",90.5,8.06,2016,"Arian Foster",19,11,4,1,3,39,22.1,5.1,2,2.9
"Ben Roethlisberger","QB",22.1,2.1,2016,"Ben Roethlisberger",5,17,18,13,10,59.3,125,132,92.6,67.1
"Bilal Powell","RB",145.4,13.01,2016,"Bilal Powell",NA,NA,52,NA,NA,NA,NA,138.6,NA,NA
"Blake Bortles","QB",30.4,3.06,2016,"Blake Bortles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
