"year","owner","player","team","pos","value","keeper","lag1_price","lag2_price","lag3_price","lag4_price","lag5_price","overall_rank","pos_rank","lag1_pos_rank","lag2_pos_rank","lag3_pos_rank","lag4_pos_rank","lag5_pos_rank","lag1_overall","lag2_overall","lag3_overall","lag4_overall","lag5_overall"
2010,"McShane","49ers D/ST","SF","D/ST",3,0,NA,NA,NA,NA,NA,110.8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Thieneman","49ers D/ST","SF","D/ST",14,0,NA,3,NA,NA,NA,88.8,1,13,4,NA,NA,NA,166.8,110.8,NA,NA,NA
2013,"Thieneman","49ers D/ST","49ERS ","D/ST",10,0,14,NA,3,NA,NA,95.9,2,1,13,4,NA,NA,88.8,166.8,110.8,NA,NA
2014,"McShane","49ers D/ST","49ERS ","D/ST",7,0,10,14,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Thieneman","Aaron Hernandez","NE","TE",18,0,NA,NA,NA,NA,NA,41.9,3,13,NA,NA,NA,NA,126.2,NA,NA,NA,NA
2010,"Regan","Aaron Rodgers","GB","QB",86,0,NA,NA,NA,NA,NA,6.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Matovina","Aaron Rodgers","GB","QB",106,0,NA,NA,86,NA,NA,24.7,2,1,2,1,NA,NA,2.1,9.3,6.8,NA,NA
2014,"Ready","Aaron Rodgers","GB","QB",109,0,106,NA,NA,86,NA,18.5,3,2,1,2,1,NA,24.7,2.1,9.3,6.8,NA
2015,"Kane","Aaron Rodgers","GB","QB",104,0,109,106,NA,NA,86,21.2,2,3,2,1,2,1,18.5,24.7,2.1,9.3,6.8
2011,"Harrington","Adam Vinatieri","IND","K",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Kane","Adam Vinatieri","IND","K",1,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Skrzyskewski","Adam Vinatieri","IND","K",1,0,1,NA,NA,1,NA,148.2,2,NA,NA,NA,NA,8,NA,NA,NA,NA,168
2010,"Olson","Adrian Peterson","MIN","RB",107,0,NA,NA,NA,NA,NA,2.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Ready","Adrian Peterson","MIN","RB",102,0,107,NA,NA,NA,NA,1.5,1,2,NA,NA,NA,NA,2.1,NA,NA,NA,NA
2012,"Olson","Adrian Peterson","MIN","RB",66,0,102,107,NA,NA,NA,18.4,11,1,2,NA,NA,NA,1.5,2.1,NA,NA,NA
2014,"Thieneman","Adrian Peterson","MIN","RB",97,0,NA,66,102,107,NA,3.1,2,1,11,1,2,NA,1.3,18.4,1.5,2.1,NA
2010,"Matovina","Ahmad Bradshaw","NYG","RB",1,0,NA,NA,NA,NA,NA,65.4,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Shokunbi","Ahmad Bradshaw","NYG","RB",55,0,NA,1,NA,NA,NA,37.7,19,18,27,NA,NA,NA,35.6,65.4,NA,NA,NA
2013,"Kane","Ahmad Bradshaw","IND","RB",20,0,55,NA,1,NA,NA,55.2,28,19,18,27,NA,NA,37.7,35.6,65.4,NA,NA
2014,"Olson","Ahmad Bradshaw","IND","RB",1,0,20,55,NA,1,NA,125.8,47,28,19,18,27,NA,55.2,37.7,35.6,65.4,NA
2011,"Hartman","A.J. Green","CIN","WR",11,0,NA,NA,NA,NA,NA,98.1,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Harrington","A.J. Green","CIN","WR",81,0,NA,NA,11,NA,NA,13.7,4,3,5,36,NA,NA,17.8,26.3,98.1,NA,NA
2015,"Ready","A.J. Green","CIN","WR",80,0,81,NA,NA,11,NA,18.5,7,4,3,5,36,NA,13.7,17.8,26.3,98.1,NA
2011,"Kane","Alex Henery","PHI","K",1,0,NA,NA,NA,NA,NA,164.3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Skrzyskewski","Alex Henery","PHI","K",1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
