"player","pos","overall_rank","pos_rank","lag1_pos_rank","lag2_pos_rank","lag3_pos_rank","lag4_pos_rank","lag5_pos_rank","lag1_overall","lag2_overall","lag3_overall","lag4_overall","lag5_overall","lag1_price","lag2_price","lag3_price","lag4_price","lag5_price","pred_cost"
"Aaron Rodgers","QB",3.3,1.03,2,3,2,1,2,21.2,18.5,24.7,2.1,9.3,104,109,106,NA,NA,94.8475713067012
"Adrian Peterson","RB",8.6,1.09,1,2,1,11,1,1.9,3.1,1.3,18.4,1.5,NA,97,NA,66,102,81.7790856351214
"A.J. Green","WR",12.1,1.12,7,4,3,5,36,18.5,13.7,17.8,26.3,98.1,80,81,NA,NA,11,76.0958929952333
"Alex Smith","QB",143.9,12.12,NA,NA,22,NA,NA,NA,NA,156.3,NA,NA,14,13,10,12,NA,12.7091093569261
"Alfred Morris","RB",155,13.11,16,12,10,48,NA,34.6,24.2,11.1,144.8,NA,NA,NA,NA,NA,NA,17.191755746296
"Allen Hurns","WR",70.1,6.1,64,NA,NA,NA,NA,158.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.8509315055819
"Allen Robinson","WR",19,2.07,27,NA,NA,NA,NA,61.6,NA,NA,NA,NA,29,NA,NA,NA,NA,63.0043046087931
"Alshon Jeffery","WR",28.2,3.04,11.5,9,47,NA,NA,27.8,25.3,118.1,NA,NA,44,NA,4,1,NA,45.0873096843368
"Amari Cooper","WR",29.1,3.05,19,NA,NA,NA,NA,42.5,NA,NA,NA,NA,20,NA,NA,NA,NA,40.3611851650616
"Ameer Abdullah","RB",79.1,7.07,22,NA,NA,NA,NA,43.5,NA,NA,NA,NA,11,NA,NA,NA,NA,19.5734035189367
"Andrew Luck","QB",10.2,1.1,1,5,9,16,NA,11.5,47,71.4,108,NA,NA,NA,NA,31,NA,81.4752710558229
"Andy Dalton","QB",58.7,5.11,24,16,15,NA,NA,160.7,121.3,119.6,NA,NA,8,28,20,11,NA,27.7575738859232
"Anquan Boldin","WR",167.3,14.11,45,45,33,34,22,110.4,112.7,83.4,89.8,56,6,4,18,18,28,14.6391997123143
"Antonio Brown","WR",1.8,1.02,2,8,22,15,50,8.5,22.3,56.8,43.3,126.3,77,57,30,NA,3,88.4389667541708
"Antonio Gates","TE",128.4,11.08,15,14,8,4,1,145.1,138.9,88.9,45.6,37.8,NA,NA,9,21,41,14.7655461800885
"Arian Foster","RB",90.5,8.06,19,11,4,1,3,39,22.1,5.1,2,2.9,23,NA,NA,NA,NA,23.4184109036365
"Ben Roethlisberger","QB",22.1,2.1,5,17,18,13,10,59.3,125,132,92.6,67.1,70,36,NA,NA,NA,64.7558758399092
"Bilal Powell","RB",145.4,13.01,NA,NA,52,NA,NA,NA,NA,138.6,NA,NA,NA,NA,NA,NA,NA,9.15710663739411
"Blake Bortles","QB",30.4,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,NA,NA,NA,37.6262391592224
"Brandin Cooks","WR",34.6,3.11,10,30,NA,NA,NA,24.9,72.6,NA,NA,NA,37,13,NA,NA,NA,43.5674864109554
"Brandon Marshall","WR",30.2,3.06,22,6,5,4,15,50.6,17.1,23.7,24.4,40.7,20,74,45,40,33,42.0965965149217
"Brock Osweiler","QB",122.1,11.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0921428463858
"Cam Newton","QB",3.1,1.03,15,11,5,5,24,115.8,87.5,50,16.5,153.6,NA,NA,NA,NA,1,82.0938699815972
"Carlos Hyde","RB",48.3,4.12,17,37,NA,NA,NA,36.4,90.2,NA,NA,NA,NA,9,NA,NA,NA,32.4123065503273
"Carson Palmer","QB",24.4,2.12,17,18,17,NA,NA,128.8,129.8,126.5,NA,NA,10,23,24,8,NA,55.2882960245365
"Charcandrick West","RB",126.9,11.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.88406961076444
"Charles Sims","RB",111.8,10.04,56,NA,NA,NA,NA,150.8,NA,NA,NA,NA,1,NA,NA,NA,NA,12.4295869239772
"Chris Hogan","WR",159.1,14.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.19525750822709
"Chris Ivory","RB",76,7.04,21,51,31,NA,NA,42,139.2,68.4,NA,NA,16,1,16,NA,NA,23.0296147810951
"Chris Johnson","RB",138.9,12.07,NA,26,13,5,4,NA,56.7,15.5,8.9,3.9,NA,7,60,74,95,16.3220333465214
"Christine Michael","RB",155.3,13.11,NA,53,48,NA,NA,NA,143.9,128.4,NA,NA,NA,NA,1,NA,NA,8.80751672728881
"C.J. Anderson","RB",43.7,4.08,6,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,1,NA,NA,NA,33.2176964690088
"CJ Prosise","RB",131.8,11.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.10849072572267
"Coby Fleener","TE",84.3,7.12,NA,NA,NA,16,NA,NA,NA,NA,148.9,NA,1,NA,NA,1,NA,16.4131970756075
