"","X","year","owner","player","team","pos","value","keeper","first_name","lag1","lag2","lag3","lag4","lag5"
"1",102,2010,"McShane","49ers D/ST","SF","D/ST",3,0,"49ers",NA,NA,NA,NA,NA
"2",501,2012,"Thieneman","49ers D/ST","SF","D/ST",14,0,"49ers",NA,3,NA,NA,NA
"3",696,2013,"Thieneman","49ers D/ST","49ers ","D/ST",10,0,"49ers",14,NA,3,NA,NA
"4",875,2014,"McShane","49ers D/ST","49ers ","D/ST",7,0,"49ers",10,14,NA,3,NA
"5",502,2012,"Thieneman","Aaron Hernandez","NE","TE",18,0,"Aaron",NA,NA,NA,NA,NA
"6",66,2010,"Regan","Aaron Rodgers","GB","QB",86,0,"Aaron",NA,NA,NA,NA,NA
"7",708,2013,"Matovina","Aaron Rodgers","GB","QB",106,0,"Aaron",NA,NA,86,NA,NA
"8",915,2014,"Ready","Aaron Rodgers","GB","QB",109,0,"Aaron",106,NA,NA,86,NA
"9",980,2015,"Kane","Aaron Rodgers","GB","QB",104,0,"Aaron",109,106,NA,NA,86
"10",240,2011,"Harrington","Adam Vinatieri","Ind","K",1,0,"Adam",NA,NA,NA,NA,NA
"11",799,2014,"Kane","Adam Vinatieri","Ind","K",1,0,"Adam",NA,NA,1,NA,NA
"12",1135,2015,"Skrzyskewski","Adam Vinatieri","Ind","K",1,0,"Adam",1,NA,NA,1,NA
"13",177,2010,"Olson","Adrian Peterson","Min","RB",107,0,"Adrian",NA,NA,NA,NA,NA
"14",339,2011,"Ready","Adrian Peterson","Min","RB",102,0,"Adrian",107,NA,NA,NA,NA
"15",564,2012,"Olson","Adrian Peterson","Min","RB",66,0,"Adrian",102,107,NA,NA,NA
"16",884,2014,"Thieneman","Adrian Peterson","Min","RB",97,0,"Adrian",NA,66,102,107,NA
"17",141,2010,"Matovina","Ahmad Bradshaw","NYG","RB",1,0,"Ahmad",NA,NA,NA,NA,NA
"18",471,2012,"Shokunbi","Ahmad Bradshaw","NYG","RB",55,0,"Ahmad",NA,1,NA,NA,NA
"19",600,2013,"Kane","Ahmad Bradshaw","Ind","RB",20,0,"Ahmad",55,NA,1,NA,NA
"20",955,2014,"Olson","Ahmad Bradshaw","Ind","RB",1,0,"Ahmad",20,55,NA,1,NA
"21",203,2011,"Hartman","A.J. Green","Cin","WR",11,0,"A.J.",NA,NA,NA,NA,NA
"22",804,2014,"Harrington","A.J. Green","Cin","WR",81,0,"A.J.",NA,NA,11,NA,NA
"23",1107,2015,"Ready","A.J. Green","Cin","WR",80,0,"A.J.",81,NA,NA,11,NA
"24",223,2011,"Kane","Alex Henery","Phi","K",1,0,"Alex",NA,NA,NA,NA,NA
"25",557,2012,"Skrzyskewski","Alex Henery","Phi","K",1,0,"Alex",1,NA,NA,NA,NA
"26",79,2010,"Regan","Alex Smith","SF","QB",2,0,"Alex",NA,NA,NA,NA,NA
"27",485,2012,"McShane","Alex Smith","SF","QB",12,0,"Alex",NA,2,NA,NA,NA
"28",727,2013,"Ready","Alex Smith","KC","QB",10,0,"Alex",12,NA,2,NA,NA
"29",806,2014,"Harrington","Alex Smith","KC","QB",13,0,"Alex",10,12,NA,2,NA
"30",1033,2015,"Regan","Alex Smith","KC","QB",14,0,"Alex",13,10,12,NA,2
"31",968,2015,"Hartman","Alfred Blue","Hou","RB",10,0,"Alfred",NA,NA,NA,NA,NA
"32",1146,2015,"Olson","Allen Robinson","Jac","WR",29,0,"Allen",NA,NA,NA,NA,NA
"33",478,2012,"Shokunbi","Alshon Jeffery","Chi","WR",1,0,"Alshon",NA,NA,NA,NA,NA
"34",618,2013,"Harrington","Alshon Jeffery","Chi","WR",4,0,"Alshon",1,NA,NA,NA,NA
"35",1139,2015,"Olson","Alshon Jeffery","Chi","WR",44,0,"Alshon",NA,4,1,NA,NA
"36",1015,2015,"Higdon","Amari Cooper","Oak","WR",20,0,"Amari",NA,NA,NA,NA,NA
"37",1130,2015,"Skrzyskewski","Ameer Abdullah","Det","RB",11,0,"Ameer",NA,NA,NA,NA,NA
"38",716,2013,"Matovina","Andre Brown","Hou","RB",1,0,"Andre",NA,NA,NA,NA,NA
"39",935,2014,"Skrzyskewski","Andre Ellington","Ari","RB",37,0,"Andre",NA,NA,NA,NA,NA
"40",1126,2015,"Skrzyskewski","Andre Ellington","Ari","RB",15,0,"Andre",37,NA,NA,NA,NA
"41",212,2011,"Kane","Andre Johnson","Hou","WR",71,0,"Andre",NA,NA,NA,NA,NA
"42",517,2012,"Matovina","Andre Johnson","Hou","WR",47,0,"Andre",71,NA,NA,NA,NA
"43",870,2014,"McShane","Andre Johnson","Hou","WR",46,0,"Andre",NA,47,71,NA,NA
"44",1096,2015,"Matovina","Andre Johnson","Ind","WR",20,0,"Andre",46,NA,47,71,NA
"45",384,2011,"Olson","Andre Roberts","Ari","WR",1,0,"Andre",NA,NA,NA,NA,NA
"46",654,2013,"Regan","Andre Roberts","Wsh","WR",1,0,"Andre",NA,1,NA,NA,NA
"47",940,2014,"Skrzyskewski","Andre Williams","NYG","RB",2,0,"Andre",NA,NA,NA,NA,NA
"48",1117,2015,"Ready","Andre Williams","NYG","RB",1,0,"Andre",2,NA,NA,NA,NA
