"","player","year","pos","value","lag1_value","lag2_value","lag3_value","lag4_value","lag5_value"
"1","Aaron Hernandez",2016,"TE",NA,NA,NA,NA,18,NA
"2","Aaron Rodgers",2016,"QB",NA,104,109,106,NA,NA
"3","Adrian Peterson",2016,"RB",NA,NA,97,NA,66,102
"4","Ahmad Bradshaw",2016,"RB",NA,NA,1,20,55,NA
"5","A.J. Green",2016,"WR",NA,80,81,NA,NA,11
"6","Alex Smith",2016,"QB",NA,14,13,10,12,NA
"7","Alfred Blue",2016,"RB",NA,10,NA,NA,NA,NA
"8","Allen Robinson",2016,"WR",NA,29,NA,NA,NA,NA
"9","Alshon Jeffery",2016,"WR",NA,44,NA,4,1,NA
"10","Amari Cooper",2016,"WR",NA,20,NA,NA,NA,NA
"11","Ameer Abdullah",2016,"RB",NA,11,NA,NA,NA,NA
"12","Andre Brown",2016,"RB",NA,NA,NA,1,NA,NA
"13","Andre Ellington",2016,"RB",NA,15,37,NA,NA,NA
"14","Andre Johnson",2016,"WR",NA,20,46,NA,47,71
"15","Andre Roberts",2016,"WR",NA,NA,NA,1,NA,1
"16","Andre Williams",2016,"RB",NA,1,2,NA,NA,NA
"17","Andrew Luck",2016,"QB",NA,NA,NA,NA,31,NA
"18","Andy Dalton",2016,"QB",NA,8,28,20,11,NA
"19","Anquan Boldin",2016,"WR",NA,6,4,18,18,28
"20","Anthony Allen",2016,"RB",NA,NA,NA,NA,1,NA
"21","Anthony Gonzalez",2016,"WR",NA,NA,NA,NA,NA,NA
"22","Antonio Brown",2016,"WR",NA,77,57,30,NA,3
"23","Antonio Bryant",2016,"WR",NA,NA,NA,NA,NA,NA
"24","Antonio Gates",2016,"TE",NA,NA,NA,9,21,41
"25","Arian Foster",2016,"RB",NA,23,NA,NA,NA,NA
"26","Austin Collie",2016,"WR",NA,NA,NA,NA,NA,17
"27","Beanie Wells",2016,"RB",NA,NA,NA,NA,18,25
"28","BenJarvus Green-Ellis",2016,"RB",NA,NA,NA,6,22,23
"29","Benny Cunningham",2016,"RB",NA,NA,1,NA,NA,NA
"30","Ben Roethlisberger",2016,"QB",NA,70,36,NA,NA,NA
"31","Ben Tate",2016,"RB",NA,NA,43,4,10,NA
"32","Bernard Berrian",2016,"WR",NA,NA,NA,NA,NA,NA
"33","Bernard Pierce",2016,"RB",NA,NA,1,4,NA,NA
"34","Bernard Scott",2016,"RB",NA,NA,NA,NA,1,NA
"35","Bishop Sankey",2016,"RB",NA,1,5,NA,NA,NA
"36","Blaine Gabbert",2016,"QB",NA,NA,NA,1,NA,NA
"37","Blake Bortles",2016,"QB",NA,8,1,NA,NA,NA
"38","Brandin Cooks",2016,"WR",NA,37,13,NA,NA,NA
"39","Brandon Jacobs",2016,"RB",NA,NA,NA,NA,NA,4
"40","Brandon LaFell",2016,"WR",NA,NA,NA,1,NA,NA
"41","Brandon Lloyd",2016,"WR",NA,NA,NA,NA,29,NA
"42","Brandon Marshall",2016,"WR",NA,20,74,45,40,33
"43","Brandon Myers",2016,"TE",NA,NA,NA,8,NA,NA
"44","Brandon Pettigrew",2016,"TE",NA,NA,NA,1,27,12
"45","Brandon Weeden",2016,"QB",NA,NA,NA,7,NA,NA
"46","Braylon Edwards",2016,"WR",NA,NA,NA,NA,NA,3
"47","Brent Celek",2016,"TE",NA,NA,NA,NA,1,NA
"48","Brett Favre",2016,"QB",NA,NA,NA,NA,NA,NA
"49","Brian Brohm",2016,"QB",NA,NA,NA,NA,NA,NA
"50","Brian Hoyer",2016,"QB",NA,2,1,NA,NA,NA
"51","Brian Quick",2016,"WR",NA,3,NA,NA,NA,NA
"52","Bryce Brown",2016,"RB",NA,NA,NA,8,NA,NA
"53","Cadillac Williams",2016,"RB",NA,NA,NA,NA,NA,NA
"54","Calvin Johnson",2016,"WR",NA,76,78,79,NA,70
"55","Cam Newton",2016,"QB",NA,NA,NA,NA,NA,1
"56","Carlos Hyde",2016,"RB",NA,NA,9,NA,NA,NA
"57","Carson Palmer",2016,"QB",NA,10,23,24,8,NA
"58","Cecil Shorts",2016,"WR",NA,NA,14,NA,NA,NA
"59","Cedric Benson",2016,"RB",NA,NA,NA,NA,7,19
"60","Chad Henne",2016,"QB",NA,NA,NA,NA,NA,NA
"61","Chad Ochocinco",2016,"WR",NA,NA,NA,NA,NA,29
"62","Charles Clay",2016,"TE",NA,NA,1,NA,NA,NA
"63","Charles Johnson",2016,"WR",NA,21,NA,NA,NA,NA
"64","Charles Sims",2016,"RB",NA,1,NA,NA,NA,NA
"65","Chaz Schilens",2016,"WR",NA,NA,NA,NA,NA,NA
"66","Chester Taylor",2016,"RB",NA,NA,NA,NA,NA,NA
"67","Chris Cooley",2016,"TE",NA,NA,NA,NA,NA,1
"68","Chris Givens",2016,"WR",NA,NA,NA,3,NA,NA
"69","Chris Ivory",2016,"RB",NA,16,1,16,NA,NA
"70","Chris Johnson",2016,"RB",NA,NA,7,60,74,95
"71","Christian Ponder",2016,"QB",NA,NA,NA,7,1,NA
"72","Christine Michael",2016,"RB",NA,NA,NA,1,NA,NA
"73","C.J. Anderson",2016,"RB",NA,NA,1,NA,NA,NA
"74","C.J. Spiller",2016,"RB",NA,6,35,96,10,1
"75","Clinton Portis",2016,"RB",NA,NA,NA,NA,NA,NA
"76","Coby Fleener",2016,"TE",NA,1,NA,NA,1,NA
"77","Cody Latimer",2016,"WR",NA,1,NA,NA,NA,NA
"78","Cole Beasley",2016,"WR",NA,1,NA,NA,NA,NA
"79","Colin Kaepernick",2016,"QB",NA,31,NA,NA,NA,NA
"80","Colt McCoy",2016,"QB",NA,NA,NA,NA,NA,10
"81","Cordarrelle Patterson",2016,"WR",NA,NA,30,NA,NA,NA
"82","Dallas Clark",2016,"TE",NA,NA,NA,NA,NA,30
"83","Daniel Thomas",2016,"RB",NA,NA,NA,NA,4,20
"84","Danny Amendola",2016,"WR",NA,NA,4,18,NA,2
"85","Danny Woodhead",2016,"RB",NA,1,2,NA,NA,3
"86","Darren McFadden",2016,"RB",NA,5,1,35,48,NA
"87","Darren Sproles",2016,"RB",NA,NA,1,31,26,NA
"88","Darrius Heyward-Bey",2016,"WR",NA,NA,NA,1,3,NA
"89","Darvin Adams",2016,"WR",NA,NA,NA,NA,1,NA
"90","Daryl Richardson",2016,"RB",NA,NA,NA,20,NA,NA
"91","Davante Adams",2016,"WR",NA,42,NA,NA,NA,NA
"92","David Cobb",2016,"RB",NA,1,NA,NA,NA,NA
"93","David Garrard",2016,"QB",NA,NA,NA,NA,NA,3
"94","David Johnson",2016,"RB",NA,1,NA,NA,NA,NA
"95","David Wilson",2016,"RB",NA,NA,NA,NA,6,NA
