"player_team","position","ppr_points","ppr_adp","standard_points","standard_adp"
"Antonio Brown - PIT","WR",28.2448384615385,"1.365",18.5036,"1.615"
"Julio Jones - ATL","WR",25.8771230769231,"3.11",16.4985923076923,"4.7917"
"Odell Beckham - NYG","WR",24.4071076923077,"2.785",16.6128230769231,"3.5"
"DeAndre Hopkins - HOU","WR",23.0024230769231,"5.765",15.1158846153846,"9.2167"
"David Johnson - ARI","RB",21.9587461538462,"7.28",17.2435538461538,"7.1617"
"Todd Gurley - LA","RB",21.3207384615385,"5.215",17.9346846153846,"4.32"
"Dez Bryant - DAL","WR",21.1938692307692,"10.915",14.5413076923077,"12.38"
"Keenan Allen - SD","WR",21.1188384615385,"16.305",12.9722769230769,"28.5083"
"A.J. Green - CIN","WR",20.8343769230769,"7.65",14.0401692307692,"12.11"
"Brandon Marshall - NYJ","WR",20.6064076923077,"18.54",13.4509384615385,"22.0567"
"Jordy Nelson - GB","WR",20.4566769230769,"19.95",13.9060307692308,"18.955"
"Devonta Freeman - ATL","RB",20.0531615384615,"20.69",14.9323923076923,"16.5167"
"Lamar Miller - HOU","RB",20.0097384615385,"12.885",16.1228538461538,"14.4117"
"Alshon Jeffery - CHI","WR",20.2445461538462,"22.55",13.4620230769231,"24.975"
"Ezekiel Elliott - DAL","RB",19.8065538461538,"11.48",15.8292615384615,"8.53"
"Jamaal Charles - KC","RB",19.8061076923077,"22.175",15.8419615384615,"18.885"
"Rob Gronkowski - NE","TE",19.5960384615385,"12.335",13.5058461538462,"9.6217"
"Allen Robinson - JAC","WR",19.8945384615385,"10.575",13.8112615384615,"15.305"
"Adrian Peterson - MIN","RB",19.3407846153846,"12.38",16.2825538461538,"6.3867"
"Jarvis Landry - MIA","WR",19.2854846153846,"28.8",11.5519615384615,"46.6083"
"Mike Evans - TB","WR",19.2032153846154,"18.625",13.0263692307692,"25.4833"
"Brandin Cooks - NO","WR",19.1845230769231,"22.275",12.5452461538462,"29.815"
"Amari Cooper - OAK","WR",19.0388,"19.8",12.5753384615385,"25.0867"
"LeVeon Bell - PIT","RB",18.6099615384615,"13.605",14.2595461538462,"11.125"
"Mark Ingram - NO","RB",18.5903307692308,"27.85",14.2037,"24.745"
"Jordan Reed - WAS","TE",18.1995846153846,"40.055",11.3475846153846,"40.7833"
"Golden Tate - DET","WR",18.6261846153846,"39.245",11.4813692307692,"58.4683"
"LeSean McCoy - BUF","RB",18.1380461538462,"31.42",14.6169307692308,"26.405"
"Demaryius Thomas - DEN","WR",18.4434461538462,"27.93",11.7418153846154,"32.535"
"Cam Newton - CAR","QB",26.7524,"30.125",25.6447076923077,"20.9467"
"Sammy Watkins - BUF","WR",18.3223769230769,"28.9",12.4946153846154,"30.8483"
"T.Y. Hilton - IND","WR",18.2966923076923,"26.25",12.5120461538462,"35.76"
"Aaron Rodgers - GB","QB",26.4575538461538,"35.545",24.5190923076923,"25.7067"
"Randall Cobb - GB","WR",18.0185615384615,"33.55",11.8801230769231,"44.68"
"Julian Edelman - NE","WR",17.8402538461538,"39.535",10.7967384615385,"44.4733"
"Eric Decker - NYJ","WR",17.5873923076923,"50.17",11.6109615384615,"57.2117"
"Larry Fitzgerald - ARI","WR",17.5479846153846,"58.74",10.8075307692308,"64.63"
"Jeremy Maclin - KC","WR",17.4183076923077,"42.98",11.1808461538462,"52.8183"
"Russell Wilson - SEA","QB",25.6576230769231,"49.605",24.2960846153846,"39.74"
"Ben Roethlisberger - PIT","QB",25.5097461538462,"67.415",21.3789769230769,"55.35"
"Doug Baldwin - SEA","WR",17.1201307692308,"48.51",11.4552,"49.2033"
"Greg Olsen - CAR","TE",16.5455384615385,"49.82",10.6763615384615,"46.1333"
"Eddie Lacy - GB","RB",16.6602,"30.605",13.9192846153846,"22.8233"
"Doug Martin - TB","RB",16.5422692307692,"32.42",13.6471076923077,"22.15"
"Kelvin Benjamin - CAR","WR",16.6616692307692,"34.695",11.3088923076923,"40.84"
"Donte Moncrief - IND","WR",16.6329461538462,"44.195",10.8798307692308,"74.2083"
"Matt Forte - NYJ","RB",16.1909230769231,"46.85",12.4759,"40.9783"
"Andrew Luck - IND","QB",24.8336923076923,"45.795",22.8721538461538,"43.0033"
"Jordan Matthews - PHI","WR",16.2194769230769,"56.485",10.3250384615385,"77.775"
"Emmanuel Sanders - DEN","WR",16.1539461538462,"68.62",10.6339538461538,"71.9167"
"C.J. Anderson - DEN","RB",15.6912076923077,"41.19",12.7040846153846,"34.9433"
"Carlos Hyde - SF","RB",15.6555076923077,"43.83",12.5239076923077,"37.94"
"Dion Lewis - NE","RB",15.6403846153846,"50.935",10.7009230769231,"63.3717"
"Thomas Rawls - SEA","RB",15.6353307692308,"40.075",13.3481461538462,"36.4283"
"Danny Woodhead - SD","RB",15.6244384615385,"64.04",10.1391615384615,"88.69"
"Michael Crabtree - OAK","WR",15.9910461538462,"81.88",10.0735923076923,"96.2533"
"Delanie Walker - TEN","TE",15.4686846153846,"72.005",9.63959230769231,"72.6883"
"Drew Brees - NO","QB",24.1934923076923,"62.185",22.0011846153846,"55.3433"
"Michael Floyd - ARI","WR",15.6419307692308,"54.21",10.8535538461538,"61.2267"
"Latavius Murray - OAK","RB",15.0548307692308,"46.845",11.9015692307692,"45.6033"
"Jeremy Langford - CHI","RB",14.9990076923077,"66.4",11.6934076923077,"68.5783"
"DeMarco Murray - TEN","RB",14.8889615384615,"54.88",12.0394384615385,"53.85"
"Duke Johnson - CLE","RB",14.8234384615385,"58.285",9.97153846153846,"81.0067"
"John Brown - ARI","WR",15.1823769230769,"68.02",10.3514538461538,"76.4367"
"Travis Kelce - KC","TE",14.6539384615385,"66.325",9.02340769230769,"65.2567"
"Coby Fleener - NO","TE",14.6126461538462,"69.705",9.2183,"82.1083"
"Philip Rivers - SD","QB",23.2869692307692,"100.24",20.9100461538462,"103.9833"
"Tyler Lockett - SEA","WR",14.9470538461538,"69.92",9.95395384615385,"90.7533"
"Giovani Bernard - CIN","RB",14.4546230769231,"65.205",10.3411923076923,"82.765"
"Matt Jones - WAS","RB",14.2017230769231,"62.41",11.6152230769231,"62.935"
"Eli Manning - NYG","QB",22.7384615384615,"93.615",20.5923076923077,"90.64"
"Allen Hurns - JAC","WR",14.3953692307692,"66.83",9.71767692307692,"77.3483"
"Kirk Cousins - WAS","QB",22.6489615384615,"115.705",20.6181923076923,"120.1233"
"DeVante Parker - MIA","WR",14.3090307692308,"67.34",9.56954615384615,"83.3067"
"Arian Foster - MIA","RB",13.9357923076923,"65.905",10.6413692307692,"93.8717"
"Melvin Gordon - SD","RB",13.8548923076923,"79.625",10.5458538461538,"76.7633"
"Jeremy Hill - CIN","RB",13.7737692307692,"71.315",11.9512692307692,"55.9267"
"DeSean Jackson - WAS","WR",14.1114076923077,"91.46",9.74206153846154,"89.0617"
"Ryan Mathews - PHI","RB",13.7315230769231,"73.545",11.1978461538462,"59.28"
"Jonathan Stewart - CAR","RB",13.7064307692308,"77.04",11.7904384615385,"52.49"
"Blake Bortles - JAC","QB",22.3735692307692,"81.115",21.1043384615385,"81.015"
"Marvin Jones - DET","WR",14.0311538461538,"86.145",9.11030769230769,"101.9283"
"Panthers - CAR","DST",10.5235615384615,"136.59",10.5235615384615,"90.1233"
"Stephen Gostkowski - NE","K",11.9303153846154,"133.495",11.9303153846154,"109.415"
"Carson Palmer - ARI","QB",22.3160230769231,"84.085",20.5160230769231,"70.095"
"Ameer Abdullah - DET","RB",13.593,"85.35",10.6617384615385,"89.3583"
"Matthew Stafford - DET","QB",22.2741846153846,"123.625",20.1741846153846,"130.5067"
"Rashad Jennings - NYG","RB",13.5670384615385,"95.52",10.6724846153846,"100.0733"
"Willie Snead - NO","WR",13.8393769230769,"104.49",8.66608461538462,"123.185"
"Tavon Austin - LA","WR",13.8012230769231,"116.59",9.60256923076923,"121.2917"
"Frank Gore - IND","RB",13.4194384615385,"86.935",10.8710384615385,"84.8733"
"Stefon Diggs - MIN","WR",13.7522076923077,"98.515",8.96961538461538,"111.9883"
"Broncos - DEN","DST",10.2712923076923,"116.64",10.2712923076923,"82.5333"
"Kevin White - CHI","WR",13.5922384615385,"75.35",8.96706923076923,"90.9583"
"Torrey Smith - SF","WR",13.5465384615385,"109.05",9.24999230769231,"121.995"
"Jason Witten - DAL","TE",13.0142692307692,"149.15",7.63123076923077,"134.932"
"T.J. Yeldon - JAC","RB",13.0367923076923,"98.885",9.72734615384615,"96.2433"
"Zach Ertz - PHI","TE",12.8810538461538,"98.26",7.73616153846154,"106.485"
"Sterling Shepard - NYG","WR",13.3365384615385,"79.335",8.64143846153846,"95.0183"
"Gary Barnidge - CLE","TE",12.8383307692308,"101.415",8.2388,"92.6167"
"Justin Tucker - BAL","K",11.2621769230769,"160.045",11.2621769230769,"140.5917"
"Tyler Eifert - CIN","TE",12.7445307692308,"81.175",8.31065384615385,"71.4017"
"Cardinals - ARI","DST",9.69066153846154,"120.52",9.69066153846154,"98.36"
"Jameis Winston - TB","QB",21.4391384615385,"114.91",20.2852923076923,"120.6817"
"Chris Boswell - PIT","K",11.0480230769231,"181.435",11.0480230769231,"151.5233"
"Charles Sims - TB","RB",12.7077,"98.025",8.84876923076923,"113.1017"
"Chiefs - KC","DST",9.58884615384615,"150.64",9.58884615384615,"114.3267"
"Antonio Gates - SD","TE",12.5600076923077,"122.2",7.94115384615385,"116.86"
"Julius Thomas - JAC","TE",12.5154307692308,"94.27",7.96678461538462,"102.8967"
"Tyrod Taylor - BUF","QB",21.3094076923077,"126.225",20.4555615384615,"130.3767"
"Matt Ryan - ATL","QB",21.2654230769231,"137.505",18.8885,"136.5433"
"Theo Riddick - DET","RB",12.5310307692308,"109.435",7.55998461538462,"133.282"
"Steven Hauschka - SEA","K",10.7974461538462,"160.775",10.7974461538462,"133.04"
"Corey Coleman - CLE","WR",12.6918153846154,"87.54",8.1221,"104.4633"
"Vincent Jackson - TB","WR",12.6561615384615,"134.98",8.30170769230769,"134.1967"
"Andy Dalton - CIN","QB",20.9720615384615,"134.485",19.9566769230769,"123.7083"
"Graham Gano - CAR","K",10.5796846153846,"164.31",10.5796846153846,"132.9567"
"Justin Forsett - BAL","RB",12.2540692307692,"100.065",9.46446923076923,"104.605"
"Steelers - PIT","DST",9.14832307692308,"185.41",9.14832307692308,"151.2167"
"Derek Carr - OAK","QB",20.8883615384615,"99.07",19.7806692307692,"109.805"
"Vikings - MIN","DST",9.07917692307692,"161.49",9.07917692307692,"147.01"
"Rams - LA","DST",9.07348461538461,"167.14",9.07348461538461,"135.2333"
