"","player","pos","overall_rank","pos_rank","lag1_pos_rank","lag2_pos_rank","lag3_pos_rank","lag4_pos_rank","lag5_pos_rank","lag1_overall","lag2_overall","lag3_overall","lag4_overall","lag5_overall","lag1_price","lag2_price","lag3_price","lag4_price","lag5_price","pred_cost","ppg"
"1","Antonio Brown","WR",1.8,1.02,2,8,22,15,50,8.5,22.3,56.8,43.3,126.3,77,57,30,NA,3,88.4389667541708,18.5036
"2","Cam Newton","QB",3.1,1.03,15,11,5,5,24,115.8,87.5,50,16.5,153.6,NA,NA,NA,NA,1,82.0938699815972,25.6447076923077
"3","Aaron Rodgers","QB",3.3,1.03,2,3,2,1,2,21.2,18.5,24.7,2.1,9.3,104,109,106,NA,NA,94.8475713067012,24.5190923076923
"4","Odell Beckham Jr","WR",3.5,1.03,5,NA,NA,NA,NA,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.8881350819161,16.6128230769231
"5","Julio Jones","WR",5.2,1.05,3,5,4,2,26,9,15.1,21.8,14.9,68.9,NA,NA,NA,NA,16,88.3797699583417,16.4985923076923
"6","Le'Veon Bell","RB",6.3,1.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,76.9122149792439,14.2595461538462
"7","Todd Gurley","RB",6.3,1.06,26,NA,NA,NA,NA,54,NA,NA,NA,NA,13,NA,NA,NA,NA,77.2663482044834,17.9346846153846
"8","Russell Wilson","QB",8.3,1.08,6,15,12,18,NA,61.7,105.9,85.5,119.5,NA,NA,NA,NA,1,NA,76.8497886355911,24.2960846153846
"9","Adrian Peterson","RB",8.6,1.09,1,2,1,11,1,1.9,3.1,1.3,18.4,1.5,NA,97,NA,66,102,81.7790856351214,16.2825538461538
"10","David Johnson","RB",8.9,1.09,47,NA,NA,NA,NA,119.8,NA,NA,NA,NA,1,NA,NA,NA,NA,69.6746865203855,17.2435538461538
"11","Andrew Luck","QB",10.2,1.1,1,5,9,16,NA,11.5,47,71.4,108,NA,NA,NA,NA,31,NA,81.4752710558229,22.8721538461538
"12","DeAndre Hopkins","WR",10.8,1.11,14,47,42,NA,NA,31.6,117.6,105.9,NA,NA,42,5,2,NA,NA,70.8350998398301,15.1158846153846
"13","A.J. Green","WR",12.1,1.12,7,4,3,5,36,18.5,13.7,17.8,26.3,98.1,80,81,NA,NA,11,76.0958929952333,14.0401692307692
"14","Ezekiel Elliott","RB",12.7,2.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.1057688437024,15.8292615384615
"15","Drew Brees","QB",15,2.03,4,2,1,3,5,50.4,13.9,19.1,7.3,27,85,106,101,102,76,77.3099368056689,22.0011846153846
"16","Lamar Miller","RB",15,2.03,12,32,21,NA,NA,21.2,78.2,32.7,NA,NA,65,2,23,NA,NA,68.0716414522154,16.1228538461538
"17","Dez Bryant","WR",15.9,2.04,1,3,2,13,14,8.4,11.7,14.4,39.5,39.5,84,78,58,36,46,80.6219053666542,14.5413076923077
"18","Rob Gronkowski","TE",17.4,2.05,1,3,2,2,10,12.2,30,44.4,19.7,98.1,NA,41,NA,NA,1,74.2019569832136,13.5058461538462
"19","Allen Robinson","WR",19,2.07,27,NA,NA,NA,NA,61.6,NA,NA,NA,NA,29,NA,NA,NA,NA,63.0043046087931,13.8112615384615
"20","Jamaal Charles","RB",20,2.08,4,3,3,10,5,4.1,3.5,4.7,17.7,5.1,NA,NA,NA,44,NA,67.5932148672799,15.8419615384615
"21","Jordy Nelson","WR",20.6,2.09,NA,7,19,11,47,NA,20.3,51,34.7,121.9,1,NA,26,NA,5,59.1601800322668,13.9060307692308
"22","Devonta Freeman","RB",22,2.1,42,42,NA,NA,NA,99.7,103.2,NA,NA,NA,1,NA,NA,NA,NA,55.4198318200862,14.9323923076923
"23","Ben Roethlisberger","QB",22.1,2.1,5,17,18,13,10,59.3,125,132,92.6,67.1,70,36,NA,NA,NA,64.7558758399092,21.3789769230769
"24","Keenan Allen","WR",23.3,2.11,23,11,NA,NA,NA,54.2,31.3,NA,NA,NA,NA,NA,NA,NA,NA,59.9399525944501,12.9722769230769
"25","Carson Palmer","QB",24.4,2.12,17,18,17,NA,NA,128.8,129.8,126.5,NA,NA,10,23,24,8,NA,55.2882960245365,20.5160230769231
"26","Eddie Lacy","RB",25.4,3.01,2,5,20,NA,NA,2.9,9.4,29.4,NA,NA,NA,NA,30,NA,NA,55.6305292861982,13.9192846153846
"27","Tom Brady","QB",27.1,3.03,7,6,4,2,3,64.4,52.4,42.5,4.6,18.8,87,68,93,108,NA,60.1037116492621,17.8886384615385
"28","Mike Evans","WR",27.4,3.03,13,41,NA,NA,NA,30.3,105.5,NA,NA,NA,NA,5,NA,NA,NA,42.6472537821397,13.0263692307692
"29","Alshon Jeffery","WR",28.2,3.04,11.5,9,47,NA,NA,27.8,25.3,118.1,NA,NA,44,NA,4,1,NA,45.0873096843368,13.4620230769231
"30","Amari Cooper","WR",29.1,3.05,19,NA,NA,NA,NA,42.5,NA,NA,NA,NA,20,NA,NA,NA,NA,40.3611851650616,12.5753384615385
"31","Doug Martin","RB",30,3.06,18,10,2,15,NA,37,18.9,2.9,25.4,NA,11,73,NA,10,NA,43.7913264165282,13.6471076923077
"32","Brandon Marshall","WR",30.2,3.06,22,6,5,4,15,50.6,17.1,23.7,24.4,40.7,20,74,45,40,33,42.0965965149217,13.4509384615385
"33","Mark Ingram","RB",30.2,3.06,14,40,35,36,22,28.4,94.7,82.8,88,46.8,35,1,6,8,23,42.1929920150187,14.2037
"34","Blake Bortles","QB",30.4,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,NA,NA,NA,37.6262391592224,21.1043384615385
"35","LeSean McCoy","RB",31.2,3.07,10,1,7,3,6,19.4,1.6,5.9,5.3,7.9,NA,NA,NA,NA,NA,43.1235411178647,14.6169307692308
"36","Eli Manning","QB",33.8,3.1,13,NA,14,8,13,103.4,NA,108.5,49.9,97.9,60,18,56,49,42,49.9498318371842,20.5923076923077
"37","Brandin Cooks","WR",34.6,3.11,10,30,NA,NA,NA,24.9,72.6,NA,NA,NA,37,13,NA,NA,NA,43.5674864109554,12.5452461538462
"38","Thomas Rawls","RB",37,4.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.9702336449676,13.3481461538462
"39","T.Y. Hilton","WR",38.2,4.02,9,24,25,NA,NA,23.8,58.7,63.3,NA,NA,57,15,7,NA,NA,43.175048989411,12.5120461538462
"40","Demaryius Thomas","WR",39.5,4.04,4,2,6,22,NA,11.4,8.2,26.1,58,NA,NA,NA,NA,NA,NA,37.2839850404216,11.7418153846154
"41","Kelvin Benjamin","WR",41,4.05,NA,35,NA,NA,NA,NA,85.5,NA,NA,NA,NA,NA,NA,NA,NA,30.339523403021,11.3088923076923
"42","Philip Rivers","QB",42.1,4.06,14,14,24,11,4,110.1,103.1,159.7,73.1,25.1,NA,42,18,72,68,33.4820631012789,20.9100461538462
