playerId,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
2508061,Antonio Brown,WR,PIT,WR,PIT,185.2612,367.1829,null,1,1,1,null,null,40.3354,1.365,-0.365,44,382.9055,347.7361,5.154,null
2495454,Julio Jones,WR,ATL,WR,ATL,154.4809,336.4026,null,2,2,2,null,null,28.2407,3.11,-1.11,40,349.89,305.5209,7.0468,null
2543496,Odell Beckham,WR,NYG,WR,NYG,135.3707,317.2924,null,3,3,3,null,null,30.0165,2.785,0.215,43,325.9108,292.0257,7.1516,null
2540165,DeAndre Hopkins,WR,HOU,WR,HOU,117.1097,299.0315,null,6,4,4,null,null,23.9988,5.765,-1.765,37,310.1781,267.825,7.1069,null
2553435,David Johnson,RB,ARI,RB,ARI,108.3757,285.4637,null,4,5,1,null,null,16.5333,7.28,-2.28,33,303.546,255.81,3.4682,null
2552475,Todd Gurley,RB,LA,RB,LA,100.0816,277.1696,null,5,6,2,null,null,16.7608,5.215,0.785,39,297.8842,251.073,5.3511,null
497278,Dez Bryant,WR,DAL,WR,DAL,93.5986,275.5203,null,11,7,5,null,null,2.8244,10.915,-3.915,32,304.4162,256,8.2505,null
2540154,Keenan Allen,WR,SD,WR,SD,92.6232,274.5449,null,14,8,6,null,null,5.1799,16.305,-8.305,28,298.868,252.6,8.3793,null
2495450,A.J. Green,WR,CIN,WR,CIN,88.9252,270.8469,null,8,9,7,null,null,3.9369,7.65,1.35,35,275.2041,256.3562,4.9819,null
2495893,Brandon Marshall,WR,NYJ,WR,NYJ,85.9616,267.8833,null,15,10,8,null,null,3.3253,18.54,-8.54,21,287.2009,249.8211,4.0017,null
1032,Jordy Nelson,WR,GB,WR,GB,84.015,265.9368,null,18,11,9,null,null,5.0327,19.95,-8.95,26,287.5665,252.3083,6.0382,null
2543583,Devonta Freeman,RB,ATL,RB,ATL,83.6031,260.6911,null,16,12,3,null,null,1.8852,20.69,-8.69,25,276.0001,235.44,6.859,null
2533034,Lamar Miller,RB,HOU,RB,HOU,83.0386,260.1266,null,9,13,4,null,null,2.6443,12.885,0.115,27,277.6938,245.7022,3.6156,null
2533039,Alshon Jeffery,WR,CHI,WR,CHI,81.2574,263.1791,null,20,14,10,null,null,8.509,22.55,-8.55,27,276.434,242.0729,8.2142,null
2555224,Ezekiel Elliott,RB,DAL,RB,DAL,80.3971,257.4852,null,12,15,5,null,null,3.0304,11.48,3.52,40,281.8972,228.1,5.134,null
925,Jamaal Charles,RB,KC,RB,KC,80.3914,257.4794,null,17,16,6,null,null,10.7996,22.175,-6.175,23,273.5555,240.4971,4.9408,null
