playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
Antonio Brown,WR,PIT,WR,PIT,120.3133,243.1632,null,1.3,1,1,null,null,26.7222,1.5383,-0.5383,56.3375,256.5155,221.1,5.0628,null
Todd Gurley,RB,LA,RB,LA,102.1294,234.6003,null,4.9,2,1,null,null,14.8698,4.29,-2.29,49.725,254.9254,209.6353,5.7662,null
Julio Jones,WR,ATL,WR,ATL,94.3202,217.1701,null,3.5,3,2,null,null,12.9068,4.7033,-1.7033,52.615,224.099,175.16,7.2362,null
Odell Beckham,WR,NYG,WR,NYG,92.8619,215.7118,null,3,4,3,null,null,27.9982,3.4933,0.5067,53.765,229.0926,190.7,7.216,null
David Johnson,RB,ARI,RB,ARI,90.756,223.2268,null,5.8,5,2,null,null,10.4202,6.5667,-1.5667,45.865,239.2147,201.01,3.8214,null
Adrian Peterson,RB,MIN,RB,MIN,83.7633,216.2342,null,8,6,3,null,null,9.0732,6.57,-0.57,47.3675,222.6562,205.9,3.3992,null
Lamar Miller,RB,HOU,RB,HOU,76.9082,209.379,null,11,7,4,null,null,9.8061,12.575,-5.575,39.26,224.7165,196.4,3.8088,null
Ezekiel Elliott,RB,DAL,RB,DAL,72.472,204.9429,null,9,8,5,null,null,11.1552,8.0783,-0.0783,47.4625,210.513,190.8,4.7493,null
DeAndre Hopkins,WR,HOU,WR,HOU,69.9648,192.8147,null,9.2,9,4,null,null,10.473,9.73,-0.73,45.0825,205.1679,165.3,7.0943,null
Cam Newton,QB,CAR,QB,CAR,68.2417,335.0101,null,34.2,10,1,null,null,16.9752,17.8183,-7.8183,31.3825,343.2282,308.32,6.3386,null
Rob Gronkowski,TE,NE,TE,NE,64.0218,178.0233,null,10.9,11,1,null,null,38.0042,11.115,-0.115,44.3825,197.1307,157,5.3433,null
LeVeon Bell,RB,PIT,RB,PIT,61.7322,194.203,null,null,12,6,null,null,1.6887,14.26,-2.26,40.7025,208.9579,170.7,8.9363,null
Devonta Freeman,RB,ATL,RB,ATL,60.9014,193.3722,null,20.1,13,7,null,null,4.295,16.2883,-3.2883,34.2925,202.0415,180.6218,6.4889,null
Allen Robinson,WR,JAC,WR,JAC,59.7627,182.6126,null,11.9,14,5,null,null,2.6587,16.12,-2.12,37.93,199.5105,155.4,6.1904,null
Dez Bryant,WR,DAL,WR,DAL,59.2209,182.0708,null,15.4,15,6,null,null,4.4821,16.2183,-1.2183,40.51,203.1287,164.7,8.4116,null
LeSean McCoy,RB,BUF,RB,BUF,59.1856,191.6564,null,21.8,16,8,null,null,6.2115,25.2867,-9.2867,26.805,206.5174,170.5,5.0343,null
Jordy Nelson,WR,GB,WR,GB,54.9871,177.8369,null,20.9,17,7,null,null,2.7096,20.25,-3.25,32.795,190.2161,166.4,5.9215,null
A.J. Green,WR,CIN,WR,CIN,54.4906,177.3405,null,8.5,18,8,null,null,5.0606,11.2033,6.7967,43.6025,185.2032,145.16,5.5103,null
Mark Ingram,RB,NO,RB,NO,54.0272,186.498,null,20.8,19,9,null,null,2.3777,22.8433,-3.8433,29,195.0029,173.2,6.7947,null
Jamaal Charles,RB,KC,RB,KC,51.921,184.3918,null,25.4,20,10,null,null,1.7095,21.9067,-1.9067,31.1025,197.7156,157.4354,6.0994,null
Aaron Rodgers,QB,GB,QB,GB,51.8811,318.6495,null,35.5,21,2,null,null,9.4253,22.255,-1.255,28.67,330.4659,300.12,3.8235,null
Eddie Lacy,RB,GB,RB,GB,51.3781,183.8489,null,22,22,11,null,null,7.3282,20.3917,1.6083,29.59,194.1968,166.8394,6.484,null
Russell Wilson,QB,SEA,QB,SEA,50.652,317.4204,null,44.3,23,3,null,null,22.9399,34.5633,-11.5633,20.115,335.1086,288.94,4.4499,null
Alshon Jeffery,WR,CHI,WR,CHI,50.0644,172.9143,null,21.6,24,9,null,null,2.0108,27.6367,-3.6367,29.8675,189.5003,153.9,8.2479,null
Doug Martin,RB,TB,RB,TB,49.045,181.5158,null,22.7,25,12,null,null,13.0585,23.7633,1.2367,29.575,188.4026,167.1295,4.7075,null
Mike Evans,WR,TB,WR,TB,48.7955,171.6454,null,18.7,26,10,null,null,1.9972,24.6917,1.3083,29.73,175.3409,156.3,5.9769,null
Brandon Marshall,WR,NYJ,WR,NYJ,47.3117,170.1616,null,19.4,27,11,null,null,2.1063,21.3267,5.6733,31.9875,180.6937,156.8,3.4548,null
Keenan Allen,WR,SD,WR,SD,46.285,169.1349,null,22.2,28,12,null,null,3.3123,26.8517,1.1483,27.7025,183.9224,154.1,8.5063,null
Amari Cooper,WR,OAK,WR,OAK,44.126,166.9759,null,27.2,29,13,null,null,2.7409,27.735,1.265,28.31,174.7127,150.8279,5.6287,null
T.Y. Hilton,WR,IND,WR,IND,41.8193,164.6692,null,29.6,30,14,null,null,1.1845,36.5783,-6.5783,21.465,168.6336,154.44,5.3381,null
Brandin Cooks,WR,NO,WR,NO,40.9509,163.8008,null,26.3,31,15,null,null,3.9393,31.9617,-0.9617,25.7075,187.3531,141.7,5.9879,null
Sammy Watkins,WR,BUF,WR,BUF,40.3187,163.1686,null,29.2,32,16,null,null,6.6761,32.8783,-0.8783,25.305,176.6009,144.7,8.8429,null
C.J. Anderson,RB,DEN,RB,DEN,39.0548,171.5256,null,28.5,33,13,null,null,6.7831,31.8233,1.1767,22.28,182.2431,146.91,5.6299,null
