playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
Antonio Brown,WR,PIT,WR,PIT,187.2201,370.2032,null,1.2,1,1,null,null,42.9093,1.335,-0.335,46,389.5177,348.1401,5.0724,null
Julio Jones,WR,ATL,WR,ATL,154.4326,337.4157,null,2.5,2,2,null,null,31.6852,3.89,-1.89,43,351.0889,275.86,7.2941,null
Odell Beckham,WR,NYG,WR,NYG,134.189,317.1721,null,4.1,3,3,null,null,32.4797,2.87,0.13,45,325.9015,292.1603,7.1074,null
David Johnson,RB,ARI,RB,ARI,111.5178,280.2583,null,5.1,4,1,null,null,17.5121,6.365,-2.365,36,299.0401,250.61,3.6703,null
DeAndre Hopkins,WR,HOU,WR,HOU,111.3058,294.2889,null,8.6,5,4,null,null,23.8461,6.84,-1.84,38,310.166,266.7742,7.0252,null
Todd Gurley,RB,LA,RB,LA,101.5566,270.2971,null,7.5,6,2,null,null,15.3621,4.715,1.285,41,289.9967,242.4353,5.6473,null
Keenan Allen,WR,SD,WR,SD,92.1128,275.0959,null,14.9,7,5,null,null,10.5153,16.295,-9.295,29,298.9057,253.1,8.224,null
Lamar Miller,RB,HOU,RB,HOU,86.4548,255.1952,null,11.1,8,3,null,null,3.6691,11.495,-3.495,31,272.9582,239.8,3.7013,null
Devonta Freeman,RB,ATL,RB,ATL,85.9342,254.6746,null,18.5,9,4,null,null,6.4347,18.015,-9.015,28,272.161,231.04,6.732,null
Dez Bryant,WR,DAL,WR,DAL,82.8066,265.7897,null,15.8,10,6,null,null,2.8718,15.305,-5.305,34,291.0307,244.7,8.3153,null
Allen Robinson,WR,JAC,WR,JAC,80.3885,263.3716,null,12,11,7,null,null,1.2698,11.13,-0.13,34,282.4325,225.4,6.1269,null
Adrian Peterson,RB,MIN,RB,MIN,79.6371,248.3776,null,12.1,12,5,null,null,2.6612,10.495,1.505,34,253.5304,238.5,3.1131,null
A.J. Green,WR,CIN,WR,CIN,79.481,262.4641,null,7.6,13,8,null,null,1.3878,7.995,5.005,37,275.0731,215.26,5.6126,null
LeVeon Bell,RB,PIT,RB,PIT,79.3617,248.1022,null,null,14,6,null,null,7.6978,13.215,0.785,37,269.4446,219,9.5176,null
Jordy Nelson,WR,GB,WR,GB,78.7563,261.7394,null,20.3,15,9,null,null,1.6776,19.535,-4.535,28,284.373,245.74,5.9843,null
