"player_team","position","ppr_points","ppr_adp","standard_points","standard_adp"
"Antonio Brown - PIT","WR",28.4771692307692,"1.335",18.7048615384615,"1.5383"
"Julio Jones - ATL","WR",25.9550538461538,"3.89",16.7053923076923,"4.7033"
"Odell Beckham - NYG","WR",24.3978538461538,"2.87",16.5932153846154,"3.4933"
"David Johnson - ARI","RB",21.5583307692308,"6.365",17.1712923076923,"6.5667"
"DeAndre Hopkins - HOU","WR",22.6376076923077,"6.84",14.8319,"9.73"
"Todd Gurley - LA","RB",20.7920846153846,"4.715",18.0461769230769,"4.29"
"Keenan Allen - SD","WR",21.1612230769231,"16.295",13.0103769230769,"26.8517"
"Lamar Miller - HOU","RB",19.6304,"11.495",16.1060769230769,"12.575"
"Devonta Freeman - ATL","RB",19.5903538461538,"18.015",14.8747846153846,"16.2883"
"Dez Bryant - DAL","WR",20.4453615384615,"15.305",14.0054461538462,"16.2183"
"Allen Robinson - JAC","WR",20.2593538461538,"11.13",14.0471230769231,"16.12"
"Adrian Peterson - MIN","RB",19.1059692307692,"10.495",16.6334,"6.57"
"A.J. Green - CIN","WR",20.1895461538462,"7.995",13.6415769230769,"11.2033"
"LeVeon Bell - PIT","RB",19.0847846153846,"13.215",14.9386923076923,"14.26"
"Jordy Nelson - GB","WR",20.1338,"19.535",13.6797615384615,"20.25"
"Brandon Marshall - NYJ","WR",20.0317846153846,"16.05",13.0893538461538,"21.3267"
"Alshon Jeffery - CHI","WR",19.9777230769231,"23.365",13.3011,"27.6367"
"Rob Gronkowski - NE","TE",19.9125923076923,"13.055",13.6941,"11.115"
"Ezekiel Elliott - DAL","RB",18.7177307692308,"8.835",15.7648384615385,"8.0783"
"Jarvis Landry - MIA","WR",19.5150076923077,"30.035",11.7570769230769,"44.7917"
"Mike Evans - TB","WR",19.4609769230769,"18.005",13.2034923076923,"24.6917"
"Amari Cooper - OAK","WR",19.3746307692308,"20.89",12.8443,"27.735"
"Mark Ingram - NO","RB",18.2675692307692,"26.285",14.346,"22.8433"
"Brandin Cooks - NO","WR",19.2434,"24.725",12.6000615384615,"31.9617"
"LeSean McCoy - BUF","RB",17.8043461538462,"25.205",14.7428,"25.2867"
"T.Y. Hilton - IND","WR",18.5612230769231,"28.77",12.6668615384615,"36.5783"
"Cam Newton - CAR","QB",26.8777,"28.04",25.7700076923077,"17.8183"
"Sammy Watkins - BUF","WR",18.4050846153846,"29.78",12.5514307692308,"32.8783"
"Demaryius Thomas - DEN","WR",18.3668384615385,"31.31",11.6120615384615,"36.1117"
"Jamaal Charles - KC","RB",17.2704461538462,"23.71",14.1839846153846,"21.9067"
"Randall Cobb - GB","WR",18.2571384615385,"34.18",12.0426384615385,"43.9917"
"Eric Decker - NYJ","WR",18.2474615384615,"49.28",12.0331230769231,"52.5583"
"Golden Tate - DET","WR",18.0544230769231,"45.345",11.1186153846154,"61.5483"
"Jordan Reed - WAS","TE",17.9485230769231,"35.995",11.1915615384615,"39.36"
"Jeremy Maclin - KC","WR",17.6033538461538,"42.325",11.3018076923077,"50.8367"
"Julian Edelman - NE","WR",17.5865307692308,"38.87",10.6412153846154,"47.5483"
"Eddie Lacy - GB","RB",16.4339615384615,"24.755",14.1422230769231,"20.3917"
"Doug Martin - TB","RB",16.3946692307692,"30.635",13.9627538461538,"23.7633"
"Russell Wilson - SEA","QB",25.7784923076923,"46.55",24.4169538461538,"34.5633"
"Aaron Rodgers - GB","QB",25.6884230769231,"32.81",24.5115,"22.255"
"Donte Moncrief - IND","WR",17.3095307692308,"42.735",11.2612384615385,"60.7433"
"Ben Roethlisberger - PIT","QB",25.5876846153846,"65.915",21.4569153846154,"52.2567"
"Doug Baldwin - SEA","WR",17.2198461538462,"49.085",11.5498307692308,"47.97"
"Matt Forte - NYJ","RB",16.0622923076923,"44.96",12.6227692307692,"41.8383"
"Larry Fitzgerald - ARI","WR",17.0871,"60.245",10.5561615384615,"68.6917"
"Danny Woodhead - SD","RB",15.8278461538462,"63.92",10.4215,"85.7617"
"C.J. Anderson - DEN","RB",15.6908307692308,"35.405",13.1942769230769,"31.8233"
"Andrew Luck - IND","QB",25.1175384615385,"50.1",23.156,"42.8333"
"Latavius Murray - OAK","RB",15.1428461538462,"40.025",12.3419615384615,"42.5017"
"Kelvin Benjamin - CAR","WR",16.1494923076923,"41.78",10.9643461538462,"51.255"
"DeMarco Murray - TEN","RB",14.9919,"43.985",12.3187153846154,"49.2933"
"Greg Olsen - CAR","TE",16.0458538461538,"47.61",10.3498307692308,"45.04"
"Drew Brees - NO","QB",24.341,"57.21",22.1486923076923,"46.8467"
"Michael Crabtree - OAK","WR",15.8526692307692,"82.115",10.0091307692308,"92.6"
"Michael Floyd - ARI","WR",15.8271769230769,"55.52",10.9636692307692,"64.5833"
"Jeremy Langford - CHI","RB",14.7086846153846,"52.63",11.9083692307692,"64.57"
"Carlos Hyde - SF","RB",14.6683923076923,"45.41",12.2964769230769,"39.3317"
"Jordan Matthews - PHI","WR",15.729,"64.92",10.0494692307692,"81.64"
"Duke Johnson - CLE","RB",14.4981692307692,"68.865",9.88561538461538,"88.73"
"Emmanuel Sanders - DEN","WR",15.4993923076923,"71.95",10.1414692307692,"77.0567"
"Thomas Rawls - SEA","RB",14.3152692307692,"42.515",12.7222384615385,"41.7733"
"Giovani Bernard - CIN","RB",14.1109615384615,"65.255",10.3532923076923,"80.9283"
"Delanie Walker - TEN","TE",15.1864461538462,"66.59",9.50639230769231,"65.0133"
"Tyler Lockett - SEA","WR",15.2009615384615,"73.41",10.1646153846154,"87.9167"
"Melvin Gordon - SD","RB",13.9124153846154,"60.46",11.1488692307692,"72.11"
"Philip Rivers - SD","QB",23.3558,"98.01",20.9788769230769,"87.5817"
"Marvin Jones - DET","WR",14.9372384615385,"66.7",9.58343846153846,"90.2533"
"John Brown - ARI","WR",14.7526153846154,"79.08",10.0708153846154,"81.1483"
"Travis Kelce - KC","TE",14.6346076923077,"61.04",9.01064615384615,"61.9617"
"Coby Fleener - NO","TE",14.5687076923077,"72.59",9.13922307692308,"78.1033"
"Jeremy Hill - CIN","RB",13.4782461538462,"55.125",12.0353846153846,"51.24"
"Ameer Abdullah - DET","RB",13.4355923076923,"84.23",10.8212153846154,"93.68"
"Rashad Jennings - NYG","RB",13.4221692307692,"86.54",10.9297692307692,"91.0583"
"Eli Manning - NYG","QB",22.8608,"92.14",20.7146461538462,"78.1133"
"DeSean Jackson - WAS","WR",14.4632384615385,"84.375",9.93301538461538,"87.32"
"Jonathan Stewart - CAR","RB",13.3283153846154,"67.205",11.8389076923077,"49.1183"
"Allen Hurns - JAC","WR",14.4198769230769,"70.555",9.73182307692308,"83.82"
"Ryan Mathews - PHI","RB",13.2393461538462,"66.65",11.0756846153846,"61.2533"
"Frank Gore - IND","RB",13.0955230769231,"81.005",10.8798923076923,"82.2133"
"Blake Bortles - JAC","QB",22.5245461538462,"82.92",21.2553153846154,"83.7617"
"Matthew Stafford - DET","QB",22.4340615384615,"120.28",20.3340615384615,"120.9583"
"Kirk Cousins - WAS","QB",22.4269461538462,"111.415",20.3961769230769,"112.3333"
"Chiefs - KC","DST",10.7304923076923,"138.16",10.7304923076923,"107.3225"
"Stephen Gostkowski - NE","K",11.9291615384615,"132.285",11.9291615384615,"97.0433"
"Carson Palmer - ARI","QB",22.4127538461538,"82.035",20.6127538461538,"61.375"
"Gary Barnidge - CLE","TE",14.0225,"85.045",8.99872307692308,"83.6467"
"Charles Sims - TB","RB",12.9390846153846,"98.215",9.11413846153846,"116.4867"
"Matt Jones - WAS","RB",12.9055,"78.605",10.9143846153846,"74.6267"
"Arian Foster - MIA","RB",12.8933076923077,"66.925",10.0886,"77.0783"
"Willie Snead - NO","WR",13.9210153846154,"97.79",8.73042307692308,"117.9833"
"Tavon Austin - LA","WR",13.8859846153846,"111.05",9.65803846153846,"112.6767"
"Panthers - CAR","DST",10.5375,"123.75",10.5375,"86.92"
"Theo Riddick - DET","RB",12.6880461538462,"111.175",7.73265384615385,"131.5917"
"Zach Ertz - PHI","TE",13.5882384615385,"89.725",8.19081538461538,"103.5717"
"T.J. Yeldon - JAC","RB",12.5006461538462,"94.47",9.58455384615385,"100.105"
"Stefon Diggs - MIN","WR",13.5896615384615,"102.355",8.79347692307692,"114.4117"
"Justin Tucker - BAL","K",11.2964923076923,"164.735",11.2964923076923,"126.796"
"Broncos - DEN","DST",10.0681846153846,"104.44",10.0681846153846,"74.03"
"Torrey Smith - SF","WR",13.3493538461538,"127.395",9.1085,"118.1317"
"Sterling Shepard - NYG","WR",13.3322384615385,"88.565",8.67160769230769,"102.6133"
"Vincent Jackson - TB","WR",13.3184307692308,"121.965",8.75788461538462,"128.3617"
"Jameis Winston - TB","QB",21.5731461538462,"116.94",20.4193,"115.105"
"Antonio Gates - SD","TE",13.2059769230769,"104.01",8.29866153846154,"96.2683"
"Chris Boswell - PIT","K",11.0521769230769,"182.67",11.0521769230769,"130.854"
"Justin Forsett - FA","RB",12.0375615384615,"112.12",9.50534615384615,"112.3675"
