player_team,position,age,bye,standard_adp,standard_points,ppr_adp,ppr_points
David Johnson - ARI,RB,26,8,1.385,17.5039085359581,1,22.602603495620688
LeVeon Bell - PIT,RB,25,9,2.33,16.4860909874634,2,22.14785317431094
Antonio Brown - PIT,WR,29,9,3.7875,12.7388011765999,3,19.844670759695187
Julio Jones - ATL,WR,28,5,5.08,12.5623887631654,4,18.813958626907564
Ezekiel Elliott - DAL,RB,22,6,12.8,10.8827776364941,5,13.593460703766562
Odell Beckham - NYG,WR,25,8,4.834,11.7965258365712,6,17.56465503402269
Devonta Freeman - ATL,RB,25,5,8.4,12.9335354414096,7,16.726922205990938
LeSean McCoy - BUF,RB,29,6,6.6225,13.3000854295942,8,16.75655147802675
Mike Evans - TB,WR,24,11,8.4575,11.5296720567698,9,16.997471929498687
A.J. Green - CIN,WR,29,6,8.734,10.8822177063105,10,16.27468980754931
Melvin Gordon - LAC,RB,24,8,10.6025,12.3455083585307,11,15.654683356482062
Jordy Nelson - GB,WR,32,8,12.4775,11.6621775166128,12,17.21425531766875
Michael Thomas - NO,WR,23,5,13.566,10.808151219342,13,16.8009100863545
Jay Ajayi - MIA,RB,24,11,10.856,12.2623306787327,14,14.706379549698937
DeMarco Murray - TEN,RB,29,8,11.246,11.8208420176935,15,14.929192335109937
Jordan Howard - CHI,RB,23,9,12.502,12.8119449053951,16,15.500713360520813
Brandin Cooks - NE,WR,24,9,19.558,9.75340145706539,17,14.537553603006312
Rob Gronkowski - NE,TE,28,9,17.916,9.73781262659487,18,14.42316220302925
Kareem Hunt - KC,RB,22,10,75.228,8.99611660831074,19,11.83205645862175
Todd Gurley - LAR,RB,23,9,20.7375,11.4244601573071,20,14.400720537117374
Dez Bryant - DAL,WR,29,6,19.25,10.3636533304432,21,14.50411381209575
Amari Cooper - OAK,WR,23,10,19.27,9.71175052676078,22,14.484152505670938
Doug Baldwin - SEA,WR,29,6,19.362,10.0876449708201,23,15.232216086126876
Christian McCaffrey - CAR,RB,21,11,25.6,8.89952878309582,24,12.057906964217437
Aaron Rodgers - GB,QB,34,8,16.536,21.4987403476992,25,23.010505068266436
Keenan Allen - LAC,WR,25,8,39.178,8.13488045938902,26,13.44353637888725
Leonard Fournette - JAC,RB,21,8,17.668,11.0041343438364,27,13.013065760795126
Dalvin Cook - MIN,RB,22,9,38.258,9.3030808376473,28,12.10525595918075
T.Y. Hilton - IND,WR,28,11,18.508,9.8321872833354,29,14.789483786240437
Tom Brady - NE,QB,40,9,19.172,20.3386455701409,30,22.593761657012813
Isaiah Crowell - CLE,RB,24,9,25.262,10.1434913899222,31,12.675762365352687
Terrelle Pryor - WAS,WR,28,5,34.7075,8.85425401882656,32,13.195680342991562
DeAndre Hopkins - HOU,WR,25,7,32.1575,8.97787127172856,33,14.175091168936
Ty Montgomery - GB,RB,24,8,41.164,9.37981164400676,34,12.530024610371
Demaryius Thomas - DEN,WR,30,5,34.6425,8.77566499571592,35,14.112874002450813
Carlos Hyde - SF,RB,26,11,33.102,9.77360800456286,36,12.046358261622625
Lamar Miller - HOU,RB,26,7,22.878,10.8153925537895,37,13.665159486200874
Marshawn Lynch - OAK,RB,31,10,21.2,10.3876075194062,38,12.778784776517687
Kelvin Benjamin - CAR,WR,26,11,65.3325,8.77660768864819,39,12.949692033153875
Travis Kelce - KC,TE,28,10,38.5125,8.21915092025739,40,13.508140902238688
Alshon Jeffery - PHI,WR,27,10,30.95,8.87111054956117,41,13.519112089114312
Martavis Bryant - PIT,WR,26,9,50.708,8.22595650048344,42,11.761436313981125
Drew Brees - NO,QB,38,5,30.326,18.9710254447675,43,22.140605872495563
Joe Mixon - CIN,RB,21,6,44.1475,8.605207691008,44,10.468733371905062
Michael Crabtree - OAK,WR,30,10,36.794,8.85955776097443,45,14.077579881879375
Davante Adams - GB,WR,25,8,49.8225,8.90594936794542,46,13.236262463565312
Tyreek Hill - KC,WR,23,10,37.212,9.05991402088617,47,13.094723156182063
Golden Tate - DET,WR,29,7,61.5575,8.57558497589436,48,14.0166605934395
Larry Fitzgerald - ARI,WR,34,8,48.994,8.22977638107906,49,14.074271021726
Bilal Powell - NYJ,RB,29,11,58.464,8.97356646068227,50,12.531560580543813
Doug Martin - TB,RB,28,11,72.72,6.98956047391167,51,8.992965796995188
C.J. Anderson - DEN,RB,26,5,49.572,9.16796342921321,52,11.537444291202062
Greg Olsen - CAR,TE,32,11,37.268,8.26131075884737,53,12.9975250403055
DeVante Parker - MIA,WR,24,11,79.946,7.74248852429784,54,11.51712530859175
Ameer Abdullah - DET,RB,24,7,64.68,8.24282057343262,55,10.972937171302124
Jordan Reed - WAS,TE,27,5,39.018,8.05149748962739,56,13.232506556278313
Stefon Diggs - MIN,WR,24,9,66.074,7.95389919888516,57,13.318015235892313
Matt Ryan - ATL,QB,32,5,48.0325,18.5377796739679,58,21.133026861812187
Allen Robinson - JAC,WR,24,8,39.658,8.84257724992597,59,13.346542170845124
Jimmy Graham - SEA,TE,31,6,44.442,7.79628100641283,60,12.23680522474925
Mark Ingram - NO,RB,28,5,64.5225,9.72668818708957,61,12.805167775227062
Jamison Crowder - WAS,WR,24,5,62.438,7.76451616376846,62,12.458428885482437
Danny Woodhead - BAL,RB,32,10,67.038,6.94396110225404,63,11.359967676791937
Jarvis Landry - MIA,WR,25,11,45.346,8.31735989506664,64,13.277355972904813
Russell Wilson - SEA,QB,29,6,48.686,18.5214556994171,65,19.331360477865125
Brandon Marshall - NYG,WR,33,8,62.214,7.47794706164574,66,11.653966309260063
Mike Gillislee - NE,RB,27,9,72.2425,8.46651011311936,67,9.429444246434874
Pierre Garcon - SF,WR,31,11,77.308,7.80091474214623,68,12.964239424379375
Rob Kelley - WAS,RB,25,5,77.392,8.21793818590642,69,9.705397256934438
Adrian Peterson - NO,RB,32,5,54.592,7.32001821216049,70,8.932354299287624
Sammy Watkins - LAR,WR,24,9,44.514,8.12926392222085,71,12.149164698140124
Tyler Eifert - CIN,TE,27,6,58.894,6.68907141574416,72,10.298119192690375
Zach Ertz - PHI,TE,27,10,80.156,6.80304148973568,73,11.50861777188175
Tevin Coleman - ATL,RB,24,5,71,8.57135070153824,74,10.60559696144175
Emmanuel Sanders - DEN,WR,30,5,52.594,8.12623967371899,75,12.876434526740375
Derek Carr - OAK,QB,26,10,85.3625,16.4707372118895,76,17.187200635524686
Darren McFadden - DAL,RB,30,6,84.152,6.19602477692468,77,8.279395582960687
Chris Hogan - NE,WR,29,9,125.13,7.15255887113902,78,10.73805352854475
Marcus Mariota - TEN,QB,24,8,60.552,17.1369909235014,79,17.598290354778626
Derrick Henry - TEN,RB,23,8,104.3525,7.05454086555555,80,8.361959857753375
Delanie Walker - TEN,TE,33,8,55.544,6.54138929731093,81,10.387977833335688
Jameis Winston - TB,QB,23,11,67.972,17.1918926751022,82,18.274318757757563
Theo Riddick - DET,RB,26,7,87.624,6.6996002210123,83,10.907205290470875
Paul Perkins - NYG,RB,23,8,69.236,8.77107717695661,84,10.5226474347205
Jeremy Maclin - BAL,WR,29,10,83.366,6.79787368955806,85,11.4087923599835
Kyle Rudolph - MIN,TE,28,9,77.7425,7.18354132248185,86,11.8692661416895
Willie Snead - NO,WR,25,5,73.31,7.79311878803287,87,10.719037076494562
Frank Gore - IND,RB,34,11,63.01,8.65309464484563,88,11.203878288797062
Kirk Cousins - WAS,QB,29,5,64.882,17.1222172337311,89,19.165917185560627
Terrance West - BAL,RB,26,10,88.012,7.97791659855953,90,10.473646826800938
Martellus Bennett - GB,TE,30,8,68.19,6.601144912464,91,10.525284835301562
Eric Decker - TEN,WR,30,8,79.724,7.47964953467946,92,11.11522860197
Cam Newton - CAR,QB,28,11,60.41,17.6930296124868,93,17.937611936284625
DeSean Jackson - TB,WR,31,11,68.256,7.64209855485164,94,10.736904361971563
LeGarrette Blount - PHI,RB,31,10,64.336,7.69856218269575,95,8.069187259985124
Randall Cobb - GB,WR,27,8,85.126,7.79377678028842,96,12.433319194984687
Duke Johnson - CLE,RB,24,9,101.126,6.6945752664344,97,10.375974175784188
Tyrell Williams - LAC,WR,NA,8,91.834,7.3338599900689,98,10.34661999224025
Thomas Rawls - SEA,RB,24,6,97.55,6.10547684520668,99,7.0507823752375
Jacquizz Rodgers - TB,RB,27,11,101.434,4.51788363605602,100,6.034698777720212
Corey Coleman - CLE,WR,23,9,102.214,6.30685461244308,101,9.784807541807876
Adam Thielen - MIN,WR,27,9,100.17,6.85669674678899,102,10.444386184268687
Andrew Luck - IND,QB,28,11,59.06,17.2538778129009,103,17.81406233450556
Ben Roethlisberger - PIT,QB,35,9,79.784,16.354122857729,104,17.09041862769225
Jonathan Stewart - CAR,RB,30,11,89.22,7.75309618784993,105,8.99955067212175
James White - NE,RB,25,9,104.346,6.52659371482292,106,9.777272100504
DEN D/ST,D/ST,NA,5,73.65,11.4166308903489,107,6.370076224212562
Donte Moncrief - IND,WR,24,11,79.378,7.43329793711428,108,11.195712865822875
Hunter Henry - LAC,TE,23,8,93.114,6.06939923041433,109,9.262964799341875
Marvin Jones - DET,WR,27,7,101.132,6.84256047219028,110,10.23976321581825
