player_team,position,age,bye,standard_adp,standard_points,ppr_adp,ppr_points
David Johnson - ARI,RB,26,8,1.385,17.5039085359581,1.385,22.0413758792056
LeVeon Bell - PIT,RB,25,9,2.33,16.4860909874634,2.33,21.1013266184924
Antonio Brown - PIT,WR,29,9,3.7875,12.7388011765999,3.7875,19.7693126315838
Odell Beckham - NYG,WR,25,8,4.834,11.7965258365712,4.834,17.8415268413944
Julio Jones - ATL,WR,28,5,5.08,12.5623887631654,5.08,18.9017979271525
LeSean McCoy - BUF,RB,29,6,6.6225,13.3000854295942,6.6225,16.0704883636778
Devonta Freeman - ATL,RB,25,5,8.4,12.9335354414096,8.4,16.2728340748501
Mike Evans - TB,WR,24,11,8.4575,11.5296720567698,8.4575,17.1107135559659
A.J. Green - CIN,WR,29,6,8.734,10.8822177063105,8.734,16.4754527344455
Melvin Gordon - LAC,RB,24,8,10.6025,12.3455083585307,10.6025,15.2372080640133
Jay Ajayi - MIA,RB,24,11,10.856,12.2623306787327,10.856,14.4045156666748
DeMarco Murray - TEN,RB,29,8,11.246,11.8208420176935,11.246,14.6477135008125
Jordy Nelson - GB,WR,32,8,12.4775,11.6621775166128,12.4775,17.3618057320468
Jordan Howard - CHI,RB,23,9,12.502,12.8119449053951,12.502,14.8621584303147
Ezekiel Elliott - DAL,RB,22,6,12.8,10.8827776364941,12.8,12.4179590070729
Michael Thomas - NO,WR,23,5,13.566,10.808151219342,13.566,16.6688927788276
Aaron Rodgers - GB,QB,34,8,16.536,21.4987403476992,16.536,21.4987403476992
Leonard Fournette - JAC,RB,21,8,17.668,11.0041343438364,17.668,12.8876652923894
Rob Gronkowski - NE,TE,28,9,17.916,9.73781262659487,17.916,14.2124307937974
T.Y. Hilton - IND,WR,28,11,18.508,9.8321872833354,18.508,14.8777434529495
Tom Brady - NE,QB,40,9,19.172,20.3386455701409,19.172,20.3386455701409
Dez Bryant - DAL,WR,29,6,19.25,10.3636533304432,19.25,15.1528615298001
Amari Cooper - OAK,WR,23,10,19.27,9.71175052676078,19.27,14.9669303901048
Doug Baldwin - SEA,WR,29,6,19.362,10.0876449708201,19.362,15.5338869322349
Brandin Cooks - NE,WR,24,9,19.558,9.75340145706539,19.558,14.7535245479014
Todd Gurley - LAR,RB,23,9,20.7375,11.4244601573071,20.7375,13.8320128306193
Marshawn Lynch - OAK,RB,31,10,21.2,10.3876075194062,21.2,12.2316991592776
Lamar Miller - HOU,RB,26,7,22.878,10.8153925537895,22.878,13.0533221156866
Isaiah Crowell - CLE,RB,24,9,25.262,10.1434913899222,25.262,12.3472519405653
Christian McCaffrey - CAR,RB,21,11,25.6,8.89952878309582,25.6,11.9379105154109
Drew Brees - NO,QB,38,5,30.326,18.9710254447675,30.326,18.9710254447675
Alshon Jeffery - PHI,WR,27,10,30.95,8.87111054956117,30.95,13.7186411966673
DeAndre Hopkins - HOU,WR,25,7,32.1575,8.97787127172856,32.1575,14.1851336310533
Carlos Hyde - SF,RB,26,11,33.102,9.77360800456286,33.102,11.5865702232124
Demaryius Thomas - DEN,WR,30,5,34.6425,8.77566499571592,34.6425,14.0751148550407
Terrelle Pryor - WAS,WR,28,5,34.7075,8.85425401882656,34.7075,13.526038584743
Michael Crabtree - OAK,WR,30,10,36.794,8.85955776097443,36.794,14.1660539426465
Tyreek Hill - KC,WR,23,10,37.212,9.05991402088617,37.212,13.4601627146161
Greg Olsen - CAR,TE,32,11,37.268,8.26131075884737,37.268,13.0491348143136
Dalvin Cook - MIN,RB,22,9,38.258,9.3030808376473,38.258,11.6455672725348
Travis Kelce - KC,TE,28,10,38.5125,8.21915092025739,38.5125,13.3409379982317
Jordan Reed - WAS,TE,27,5,39.018,8.05149748962739,39.018,12.9739477508814
Keenan Allen - LAC,WR,25,8,39.178,8.13488045938902,39.178,13.1712250447991
Allen Robinson - JAC,WR,24,8,39.658,8.84257724992597,39.658,13.498518266807
Ty Montgomery - GB,RB,24,8,41.164,9.37981164400676,41.164,12.3456752895051
Joe Mixon - CIN,RB,21,6,44.1475,8.605207691008,44.1475,10.4299690455096
Jimmy Graham - SEA,TE,31,6,44.442,7.79628100641283,44.442,11.9826832371202
Sammy Watkins - LAR,WR,24,9,44.514,8.12926392222085,44.514,12.198424547504
Jarvis Landry - MIA,WR,25,11,45.346,8.31735989506664,45.346,13.8474769569637
Matt Ryan - ATL,QB,32,5,48.0325,18.5377796739679,48.0325,18.5377796739679
Russell Wilson - SEA,QB,29,6,48.686,18.5214556994171,48.686,18.5214556994171
Larry Fitzgerald - ARI,WR,34,8,48.994,8.22977638107906,48.994,13.9872874341337
C.J. Anderson - DEN,RB,26,5,49.572,9.16796342921321,49.572,11.0341034010782
Davante Adams - GB,WR,25,8,49.8225,8.90594936794542,49.8225,13.4070622095853
Martavis Bryant - PIT,WR,26,9,50.708,8.22595650048344,50.708,12.1396798726699
Emmanuel Sanders - DEN,WR,30,5,52.594,8.12623967371899,52.594,12.7145962854553
Adrian Peterson - NO,RB,32,5,54.592,7.32001821216049,54.592,8.85061507711226
Delanie Walker - TEN,TE,33,8,55.544,6.54138929731093,55.544,10.4059617450601
Spencer Ware - KC,RB,26,10,56.404,3.39141674918015,56.404,3.81926793137764
Bilal Powell - NYJ,RB,29,11,58.464,8.97356646068227,58.464,12.3599586431581
Tyler Eifert - CIN,TE,27,6,58.894,6.68907141574416,58.894,10.3000591569017
Andrew Luck - IND,QB,28,11,59.06,17.2538778129009,59.06,17.2538778129009
Cam Newton - CAR,QB,28,11,60.41,17.6930296124868,60.41,17.6930296124868
Marcus Mariota - TEN,QB,24,8,60.552,17.1369909235014,60.552,17.1369909235014
Golden Tate - DET,WR,29,7,61.5575,8.57558497589436,61.5575,14.2486205466339
Brandon Marshall - NYG,WR,33,8,62.214,7.47794706164574,62.214,11.7499099836715
Jamison Crowder - WAS,WR,24,5,62.438,7.76451616376846,62.438,12.5903451428681
Frank Gore - IND,RB,34,11,63.01,8.65309464484563,63.01,10.4159438208906
LeGarrette Blount - PHI,RB,31,10,64.336,7.69856218269575,64.336,8.29311101710089
Mark Ingram - NO,RB,28,5,64.5225,9.72668818708957,64.5225,12.3243394129738
Ameer Abdullah - DET,RB,24,7,64.68,8.24282057343262,64.68,10.4020775067124
Kirk Cousins - WAS,QB,29,5,64.882,17.1222172337311,64.882,17.1222172337311
Kelvin Benjamin - CAR,WR,26,11,65.3325,8.77660768864819,65.3325,13.1333500519922
Eddie Lacy - SEA,RB,26,6,65.336,7.67170744696999,65.336,8.89035549862382
Stefon Diggs - MIN,WR,24,9,66.074,7.95389919888516,66.074,13.3716569360234
