"","player","week","fantpt"
"1","Matt Ryan","1",31.4
"2","Matthew Stafford","1",30
"3","Calvin Johnson","1",28.4
"4","Julius Thomas","1",28.4
"5","Andrew Luck","1",26.7
"6","Le'Veon Bell","1",25.7
"7","Marshawn Lynch","1",24.4
"8","Carson Palmer","1",23.1
"9","Allen Hurns","1",23
"10","Peyton Manning","1",22.5
"11","Jake Locker","1",20
"12","A.J. Green","1",19.6
"13","Knowshon Moreno","1",19.4
"14","Cordarrelle Patterson","1",18.8
"15","Russell Wilson","1",18.5
"16","Andy Dalton","1",18.3
"17","DeMarco Murray","1",18.3
"18","Derek Anderson","1",18.2
"19","Mark Ingram","1",18.1
"20","Jay Cutler","1",18
"21","Steve Smith","1",17.8
"22","Antonio Brown","1",17.6
"23","Chad Henne","1",17.4
"24","Ben Roethlisberger","1",17.4
"25","Colin Kaepernick","1",17.1
"26","Matt Forte","1",16.9
"27","EJ Manuel","1",16.8
"28","Joe Flacco","1",16.5
"29","Vernon Davis","1",16.4
"30","Justin Forsett","1",16.4
"31","Chris Ivory","1",16.2
"32","Jeremy Maclin","1",15.7
"33","Rashad Jennings","1",15.6
"34","Drew Brees","1",15.5
"35","Brandin Cooks","1",15.5
"36","Kelvin Benjamin","1",15.2
"37","Isaiah Crowell","1",15.2
"38","Chris Johnson","1",15.1
"39","Nick Foles","1",14.9
"40","DeAndre Hopkins","1",14.9
"41","Geno Smith","1",14.6
"42","Matt Cassel","1",14.5
"43","Darren Sproles","1",14.5
"44","Montee Ball","1",14.3
"45","Greg Olsen","1",14.3
"46","Josh McCown","1",14
"47","Derek Carr","1",13.9
"48","Zach Ertz","1",13.7
"49","Ryan Fitzpatrick","1",13.2
"50","Roddy White","1",13.2
"51","Shane Vereen","1",13.1
"52","Martellus Bennett","1",13
"53","Ryan Tannehill","1",12.9
"54","Brian Hoyer","1",12.7
"55","Philip Rivers","1",12.5
"56","Dwayne Allen","1",12.4
"57","C.J. Spiller","1",12.4
"58","Michael Floyd","1",12.1
"59","Antone Smith","1",12.1
"60","Mike Wallace","1",12.1
"61","Ryan Mathews","1",12
"62","Randall Cobb","1",11.8
"63","Greg Jennings","1",11.8
"64","Lamar Miller","1",11.8
"65","Joique Bell","1",11.6
"66","Larry Donnell","1",11.6
"67","Julian Edelman","1",11.6
"68","Aaron Rodgers","1",11.6
"69","LeSean McCoy","1",11.5
"70","Brandon Marshall","1",11.1
"71","Giovani Bernard","1",11
"72","Malcom Floyd","1",11
"73","Carlos Hyde","1",11
"74","Terrance Williams","1",11
"75","Rod Streater","1",10.6
"76","Kendall Wright","1",10.6
"77","Tom Brady","1",10.3
"78","Arian Foster","1",10
"79","Rob Gronkowski","1",10
"80","Percy Harvin","1",10
"81","Terrance West","1",10
"82","Anquan Boldin","1",9.9
"83","Devin Hester","1",9.9
"84","Brian Quick","1",9.9
"85","Ricardo Lockette","1",9.8
"86","Reggie Wayne","1",9.8
"87","Alex Smith","1",9.7
"88","Golden Tate","1",9.7
"89","Delanie Walker","1",9.7
"90","Markus Wheaton","1",9.7
"91","Julio Jones","1",9.6
"92","Hakeem Nicks","1",9.6
"93","Jacquizz Rodgers","1",9.5
"94","James Jones","1",9.4
"95","Andre Johnson","1",9.3
"96","Adrian Peterson","1",9.3
"97","Tony Romo","1",9.2
"98","Alfred Morris","1",9.1
"99","Travis Benjamin","1",9
"100","Marques Colston","1",9
"101","John Brown","1",8.9
"102","Anthony Fasano","1",8.9
"103","Robert Griffin","1",8.9
"104","Pierre Thomas","1",8.9
"105","Khiry Robinson","1",8.8
"106","Emmanuel Sanders","1",8.8
"107","Andrew Hawkins","1",8.7
"108","Stepfan Taylor","1",8.6
"109","Ahmad Bradshaw","1",8.5
"110","Donnie Avery","1",8.4
"111","Jordy Nelson","1",8.3
"112","Dennis Pitta","1",8.3
"113","Jimmy Graham","1",8.2
"114","Antonio Gates","1",8.1
"115","Chris Owusu","1",8
